title,link,description
Russian oligarch lambasts country's 'massacre',https://www.bbc.co.uk/news/business-61163546?at_medium=RSS&at_campaign=KARANGA,Businessman Oleg Tinkov is one of the most high profile Russians to publicly condemn the war.
Russia releases video of intercontinental ballistic missile launch,https://www.bbc.co.uk/news/world-61170853?at_medium=RSS&at_campaign=KARANGA,President Putin says the new Sarmat missile is food for thought for those who try to threaten Russia.
Ukraine war: Mariupol commander makes 'last' plea for help,https://www.bbc.co.uk/news/world-europe-61159812?at_medium=RSS&at_campaign=KARANGA,Major Serhiy Volyna says his troops are heavily outnumbered and running out of supplies.
Ukraine war: Holocaust survivor aged 91 among Mariupol's civilian dead - reports,https://www.bbc.co.uk/news/world-europe-61165270?at_medium=RSS&at_campaign=KARANGA,The woman reportedly died in a basement more than 80 years after surviving the city's Nazi occupiers.
French election: Macron and Le Pen clash in TV presidential debate,https://www.bbc.co.uk/news/world-europe-61166601?at_medium=RSS&at_campaign=KARANGA,Emmanuel Macron and Marine Le Pen take part in an animated contest four days before the election.
Working with assertive China a must - New Zealand PM Jacinda Ardern,https://www.bbc.co.uk/news/world-asia-61160207?at_medium=RSS&at_campaign=KARANGA,New Zealand's PM tells the BBC in an exclusive interview she'll work with China where possible.
Scott Morrison: Australia PM faces backlash over 'blessed' disability remark,https://www.bbc.co.uk/news/world-australia-61171449?at_medium=RSS&at_campaign=KARANGA,"Scott Morrison has been criticised for saying he is ""blessed"" not to have children with disabilities."
Covid: Woman caught virus twice within record 20 days,https://www.bbc.co.uk/news/health-61161529?at_medium=RSS&at_campaign=KARANGA,Spanish researchers say it's the shortest-known gap between two coronavirus infections.
Tesla profits soar as customers pay more,https://www.bbc.co.uk/news/business-61170691?at_medium=RSS&at_campaign=KARANGA,Elon Musk's Tesla has raised prices for its electric cars as it faces higher costs.
Alec Baldwin: Rust film producers were indifferent to gun safety - report,https://www.bbc.co.uk/news/entertainment-arts-61169495?at_medium=RSS&at_campaign=KARANGA,"The makers of a film whose cinematographer was shot dead knew firearm safety rules were not being followed, a report says."
The young rebels fighting for democracy,https://www.bbc.co.uk/news/world-asia-61151314?at_medium=RSS&at_campaign=KARANGA,The BBC gained rare access to Myanmar's jungle training camps where protesters are turned into soldiers.
Hot air balloon makes emergency landing onto Melbourne rooftops,https://www.bbc.co.uk/news/world-australia-61161874?at_medium=RSS&at_campaign=KARANGA,A man on board filmed as the balloon bounced over roofs and trees during an emergency landing.
Macron v Le Pen: Five years of change on show in presidential debate,https://www.bbc.co.uk/news/world-europe-61171539?at_medium=RSS&at_campaign=KARANGA,Marine Le Pen's last presidential debate was a disaster - but five years on things are different.
Struggling to survive in cash-starved Afghanistan,https://www.bbc.co.uk/news/world-asia-60926471?at_medium=RSS&at_campaign=KARANGA,"Eight months into Taliban rule, the economy and health services have been shattered as funding dries up."
Sudan anger over racist slur caught on air at Bashir trial,https://www.bbc.co.uk/news/world-africa-61112459?at_medium=RSS&at_campaign=KARANGA,A derogatory remark during a live broadcast reveals how racism still permeates all sections of society.
"KGF 2, RRR, Pushpa: The southern Indian films winning on Bollywood's turf",https://www.bbc.co.uk/news/world-asia-india-61118482?at_medium=RSS&at_campaign=KARANGA,"The recent theatrical success of movies like KGF 2 and RRR has revived a debate on the ""pan-Indian"" film."
Shanghai lockdown: Whole communities relocated in anti-Covid drive,https://www.bbc.co.uk/news/world-asia-china-61160210?at_medium=RSS&at_campaign=KARANGA,One community faces relocation to quarantine facilities more than 100 miles (160km) away.
Emmanuel Macron: From political outsider to president,https://www.bbc.co.uk/news/world-europe-61153875?at_medium=RSS&at_campaign=KARANGA,"Emmanuel Macron was dismissed as an outsider five years ago. Now, he faces a new challenge: his own record."
French election: Far-right Le Pen's long quest for power in France,https://www.bbc.co.uk/news/world-europe-61147709?at_medium=RSS&at_campaign=KARANGA,Marine Le Pen has taken France's National Rally to within touching distance of the presidency.
The Zomato and Swiggy riders risking their lives to deliver food in 10 minutes,https://www.bbc.co.uk/news/world-asia-india-61147690?at_medium=RSS&at_campaign=KARANGA,The BBC followed overworked delivery riders as they raced against time to take food to customers.
"Climate change, albinism and me",https://www.bbc.co.uk/news/world-africa-61150865?at_medium=RSS&at_campaign=KARANGA,Coco shares her experience of living with albinism in Nigeria.
Wayne Quilliam: Photographing the diversity of Aboriginal Australia,https://www.bbc.co.uk/news/world-australia-61033360?at_medium=RSS&at_campaign=KARANGA,Australia has hundreds of Indigenous groups - and Wayne Quilliam is hoping to photograph them all.
Irish Travellers say racism is causing a suicide crisis,https://www.bbc.co.uk/news/world-europe-61133612?at_medium=RSS&at_campaign=KARANGA,"More than one in 10 deaths in the community are recorded as suicide, with systematic racism being blamed."
Ukraine war: How a BBC journalist's family escaped the country,https://www.bbc.co.uk/news/world-europe-61139105?at_medium=RSS&at_campaign=KARANGA,Vitaly Shevchenko's family fled Ukraine with the help of two BBC audience members.
