title,link,description
US: 'Beatles' jihadi sentenced to life in jail over hostage killings,https://www.dw.com/en/us-beatles-jihadi-sentenced-to-life-in-jail-over-hostage-killings/a-61634319?maca=en-rss-en-all-1573-rdf,"A US court handed down the first sentence to a member of the ""IS"" terror cell nicknamed ""The Beatles."" The man pleaded guilty to kidnapping, torturing and killing four American hostages."
EU border agency chief offers to resign over pushback claims,https://www.dw.com/en/eu-border-agency-chief-offers-to-resign-over-pushback-claims/a-61640304?maca=en-rss-en-all-1573-rdf,"The head of Frontex, Fabrice Leggeri, has frequently been accused of turning a blind eye to unlawful pushbacks. The process forces refugees away from a border before they are able to reach a country and claim asylum."
Erdogan's Saudi Arabia trip could be a game changer for Middle East,https://www.dw.com/en/erdogan-s-saudi-arabia-trip-could-be-a-game-changer-for-middle-east/a-61638758?maca=en-rss-en-all-1573-rdf,"Turkish President Erdogan's two-day trip to Riyadh will most likely boost bilateral ties but what's more crucial is that it could change the security situation for the entire region, from Iran to the war in Yemen."
"Russia posts trained dolphins at Black Sea naval base, satellite images show",https://www.dw.com/en/russia-posts-trained-dolphins-at-black-sea-naval-base-satellite-images-show/a-61640460?maca=en-rss-en-all-1573-rdf,"Dolphin pens were moved to the Black Sea naval base around the time Russia invaded Ukraine, according to the US Naval Institute's analysis of satellite imagery."
African leaders pay respect to Kenya's former President Kibaki at state funeral,https://www.dw.com/en/african-leaders-pay-respect-to-kenya-s-former-president-kibaki-at-state-funeral/a-61639359?maca=en-rss-en-all-1573-rdf,"Leaders of South Africa, South Sudan and Ethiopia were among several present at the state funeral in Nairobi. Kibaki, a two-term president, has a mixed political legacy."
Boris Becker sentenced to 2 years and 6 months in prison in bankruptcy case,https://www.dw.com/en/boris-becker-sentenced-to-2-years-and-6-months-in-prison-in-bankruptcy-case/a-61635567?maca=en-rss-en-all-1573-rdf,German tennis legend Boris Becker has been sentenced to two and a half years in prison in his bankruptcy case in London. He can still appeal the sentence.
Europa League: RB Leipzig one step closer to a second final — but would a trophy bring acceptance?,https://www.dw.com/en/europa-league-rb-leipzig-one-step-closer-to-a-second-final-but-would-a-trophy-bring-acceptance/a-61638461?maca=en-rss-en-all-1573-rdf,"After victory over Rangers, RB Leipzig are one step closer to reaching their first-ever European final. The club hope a trophy might legitimize their place in German football, but are there some things money can't buy?"
Ukraine: Radio Free Europe journalist killed in Kyiv shelling — live updates,https://www.dw.com/en/ukraine-radio-free-europe-journalist-killed-in-kyiv-shelling-live-updates/a-61630614?maca=en-rss-en-all-1573-rdf,Reporter Vira Hyrych lost her life when a Russian missile hit her home in central Kyiv. The attack took place during the visit of UN Secretary-General Antonio Guterres. Follow DW for the latest.
"India defends its Russia position, criticizes West at Raisina Dialogue",https://www.dw.com/en/india-defends-its-russia-position-criticizes-west-at-raisina-dialogue/a-61635857?maca=en-rss-en-all-1573-rdf,A security conference in New Delhi this week has revealed more about India's stance on the Ukraine war and how it intends to chart an independent foreign policy.
Origin of hepatitis outbreak in kids is still unknown,https://www.dw.com/en/origin-of-hepatitis-outbreak-in-kids-is-still-unknown/a-61625520?maca=en-rss-en-all-1573-rdf,"Doctors are puzzled by an unknown strain of hepatitis presenting in children, which has in some cases caused liver failure. But they are learning more. Symptoms are like jaundice."
Indonesia fights violence against women with new law,https://www.dw.com/en/indonesia-fights-violence-against-women-with-new-law/a-61637677?maca=en-rss-en-all-1573-rdf,Indonesia took almost a decade to pass a bill toughening the penalties for sexual violence. Activists say the conservative culture prevents awareness and keeps victims from coming forward.
What are your bucket list destinations in Germany?,https://www.dw.com/en/what-are-your-bucket-list-destinations-in-germany/a-61610029?maca=en-rss-en-all-1573-rdf,"Some sights in Germany draw several million visitors a year - unless there is a pandemic. They include Cologne Cathedral, the Berlin Wall, and Neuschwanstein Castle."
Elvira Nabiullina: The central banker Vladimir Putin is relying on to clean up Russia's economic mess,https://www.dw.com/en/elvira-nabiullina-the-central-banker-vladimir-putin-is-relying-on-to-clean-up-russia-s-economic-mess/a-61634244?maca=en-rss-en-all-1573-rdf,Elvira Nabiullina has charmed many in the West with her policymaking — and clothing choices. Analysts say she has blemished her reputation by remaining at the helm to help sustain Putin's war machine in Ukraine.
