title,link,description
Ukraine war: Hundreds trapped in Mariupol steelworks despite evacuations,https://www.bbc.co.uk/news/world-europe-61296851?at_medium=RSS&at_campaign=KARANGA,A Ukrainian commander at the Azovstal plant says hundreds are stuck and Russia has resumed shelling.
Alabama hunt for missing prison inmate and guard,https://www.bbc.co.uk/news/world-us-canada-61294585?at_medium=RSS&at_campaign=KARANGA,Police now believe the guard helped organise the escape and have issued a warrant for her arrest.
Uefa announces further sanctions on Russian clubs and national teams amid Ukraine invasion,https://www.bbc.co.uk/sport/football/61301238?at_medium=RSS&at_campaign=KARANGA,Russia is barred from competing in this summer's women's Euro 2022 while Russian clubs will also be banned from Uefa competitions next season.
Israel outrage at Sergei Lavrov's claim that Hitler was part Jewish,https://www.bbc.co.uk/news/world-middle-east-61296682?at_medium=RSS&at_campaign=KARANGA,"The Russian foreign minister's claim that Hitler ""had Jewish blood"" is denounced as unforgiveable."
South Africa's Cyril Ramaphosa abandons May Day rally after booing,https://www.bbc.co.uk/news/world-africa-61296810?at_medium=RSS&at_campaign=KARANGA,President Ramaphosa was forced to leave a May Day event after angry workers stormed the stage.
Amazon will pay US staff travel expenses for abortions and other treatments,https://www.bbc.co.uk/news/world-us-canada-61301911?at_medium=RSS&at_campaign=KARANGA,"The firm will reimburse travel costs for various treatments in the US, including abortion."
EU accuses Apple of breaking competition law over contactless payments,https://www.bbc.co.uk/news/business-61300874?at_medium=RSS&at_campaign=KARANGA,The US tech giant denies it is restricting rivals' access to its mobile payments technology.
Qantas promises direct flights from Sydney to London and New York,https://www.bbc.co.uk/news/world-australia-61294894?at_medium=RSS&at_campaign=KARANGA,Australia's carrier says its new fleet will be capable of direct flights to any city in the world.
Haiti gang holding kidnapped diplomat for ransom,https://www.bbc.co.uk/news/world-latin-america-61297538?at_medium=RSS&at_campaign=KARANGA,A gang infamous for kidnapping foreigners has seized a diplomat from the Dominican Republic.
Orange skies as Iraq hit by dust storm,https://www.bbc.co.uk/news/world-61297292?at_medium=RSS&at_campaign=KARANGA,Experts say the storms are increasing in frequency due to drought and declining rainfall.
Weather students die in crash after tornado chase,https://www.bbc.co.uk/news/world-us-canada-61300036?at_medium=RSS&at_campaign=KARANGA,"The three students crashed in wet weather, shortly after posting videos of a tornado in Kansas."
EU divided over how to step away from Russian energy,https://www.bbc.co.uk/news/business-61298791?at_medium=RSS&at_campaign=KARANGA,"EU energy ministers met to discuss a possible ban on Russian oil, but members remain split."
Ukraine war: Families hide in cellars as Russia targets Donbas region,https://www.bbc.co.uk/news/world-europe-61284964?at_medium=RSS&at_campaign=KARANGA,Those remaining in the Ukrainian city of Lysychansk near the front line live under constant shelling.
General Belgrano: The opera singer who survived the sinking of the Argentine cruiser,https://www.bbc.co.uk/news/stories-61272009?at_medium=RSS&at_campaign=KARANGA,"In May 1982, the Argentine cruiser the General Belgrano was sunk by British torpedoes during the war over the Falkland or Malvinas Islands."
Angola's Joice Zau: The prize-winning poet who refuses to stay quiet,https://www.bbc.co.uk/news/world-africa-61263834?at_medium=RSS&at_campaign=KARANGA,"Joice Zau is determined to carry on despite being threatened for ""telling the truth"" in Angola."
Shanghai lockdown: The hard life of a homeless deliveryman,https://www.bbc.co.uk/news/world-asia-china-61270253?at_medium=RSS&at_campaign=KARANGA,Many riders face a lack of shelter and safety while delivering supplies in a locked down city.
Emotional reunions as New Zealand reopens to tourists,https://www.bbc.co.uk/news/world-asia-61297026?at_medium=RSS&at_campaign=KARANGA,The country has reopened its borders to visitors after a pandemic lockout of more than two years.
Ukraine war: Evacuation of Mariupol civilians under way,https://www.bbc.co.uk/news/world-europe-61294744?at_medium=RSS&at_campaign=KARANGA,The UN says an operation to evacuate civilians trapped in a steelworks in Mariupol is under way.
Biden mocks Trump at White House press dinner,https://www.bbc.co.uk/news/world-us-canada-61290695?at_medium=RSS&at_campaign=KARANGA,Joe Biden jokes about former president Donald Trump at the prestigious event hosted by Trevor Noah.
Ros Atkins on… China’s zero-Covid lockdowns,https://www.bbc.co.uk/news/world-asia-china-61262757?at_medium=RSS&at_campaign=KARANGA,Ros Atkins looks at why the Chinese government remains committed to its policy of eliminating all outbreaks of coronavirus.
Asylum in Denmark: Is the country guilty of double standards?,https://www.bbc.co.uk/news/world-europe-61273433?at_medium=RSS&at_campaign=KARANGA,"As thousands of Ukrainians are welcomed, the government plans to reduce the number of non-European refugees."
