title,link,description
Ukraine conflict: Russian soldiers seen shooting dead unarmed civilians,https://www.bbc.co.uk/news/world-europe-61425025?at_medium=RSS&at_campaign=KARANGA,"The incident, captured on video seen by the BBC, is being investigated as a suspected war crime."
North Korea announces first death from Covid-19,https://www.bbc.co.uk/news/world-asia-61432084?at_medium=RSS&at_campaign=KARANGA,"A day after confirming its first cases, state media reports thousands are suffering fever symptoms."
Spain plans menstrual leave in new law for those with severe pain,https://www.bbc.co.uk/news/world-europe-61429022?at_medium=RSS&at_campaign=KARANGA,Spain could become the first European country with menstrual pain leave under a proposed law.
Eurovision 2022: Ireland's Brooke fails to qualify for the final,https://www.bbc.co.uk/news/entertainment-arts-61428830?at_medium=RSS&at_campaign=KARANGA,"Ireland go home after Thursday's semi-final, despite a warm reception for Derry girl Brooke Scullion."
Couple in India sue son for not giving them a grandchild,https://www.bbc.co.uk/news/world-asia-india-61424869?at_medium=RSS&at_campaign=KARANGA,The Indian parents say they used up their savings raising their son and paying for his wedding.
Rwandan genocide fugitive Protais Mpiranya confirmed dead,https://www.bbc.co.uk/news/world-africa-61429761?at_medium=RSS&at_campaign=KARANGA,Protais Mpiranya led the presidential guard that killed the then-PM and 10 Belgian peacekeepers.
Finland Nato: Russia threatens to retaliate over membership move,https://www.bbc.co.uk/news/world-europe-61420185?at_medium=RSS&at_campaign=KARANGA,"Finland's leaders say they want the country to apply for membership of the alliance ""without delay""."
Shireen Abu Aqla: Palestinians to refer journalist's killing to ICC,https://www.bbc.co.uk/news/world-middle-east-61419699?at_medium=RSS&at_campaign=KARANGA,Shireen Abu Aqla was shot dead while covering a raid by Israeli forces in the occupied West Bank.
Coastal fire: California mansions burn as wildfires spread,https://www.bbc.co.uk/news/world-us-canada-61430573?at_medium=RSS&at_campaign=KARANGA,"Across North America, wildfire crews are gearing up for a particularly difficult season."
Platinum Jubilee: Lemon and amaretti trifle to be official pudding,https://www.bbc.co.uk/news/uk-61428970?at_medium=RSS&at_campaign=KARANGA,Jemma Melvin's creation is inspired by a lemon posset served at the Queen's wedding to Prince Philip.
Sri Lanka crisis: How war heroes became villains,https://www.bbc.co.uk/news/world-asia-61411532?at_medium=RSS&at_campaign=KARANGA,"The Rajapaksa brothers, hailed by many as heroes for winning the civil war, are now reviled as leaders."
Afghanistan pupils in fear after spate of Islamic State attacks,https://www.bbc.co.uk/news/world-asia-61404083?at_medium=RSS&at_campaign=KARANGA,A spate of Islamic State attacks have left Afghan students in fear and test Taliban security claims.
Eurovision 2022: The anthem for Ukraine born in a war zone,https://www.bbc.co.uk/news/world-europe-61424173?at_medium=RSS&at_campaign=KARANGA,The BBC joined Ukraine's Kalush Orchestra as they prepared for the contest amid the rubble of the city of Irpin.
LPG price: Millions hit hard as cooking gas prices soar in India,https://www.bbc.co.uk/news/world-asia-india-61410449?at_medium=RSS&at_campaign=KARANGA,Many households in rural areas are forced to rely on wood for cooking as gas has become unaffordable.
Ukraine crisis: Could India cut its defence ties with Russia?,https://www.bbc.co.uk/news/world-asia-india-61274042?at_medium=RSS&at_campaign=KARANGA,"India has been under pressure to distance itself from Russia over Ukraine, including reducing defence ties."
The long struggle to return Cambodia's looted treasures,https://www.bbc.co.uk/news/world-asia-61354625?at_medium=RSS&at_campaign=KARANGA,The east Asian country claims the V&amp;A and British Museum both hold stolen antiquities.
Ukraine war: Snake Island and battle for control in Black Sea,https://www.bbc.co.uk/news/world-europe-61406808?at_medium=RSS&at_campaign=KARANGA,This rocky outcrop has been fiercely contested for weeks and has vital strategic importance.
Gambling worry as India firms bet big on online games,https://www.bbc.co.uk/news/world-asia-india-61317075?at_medium=RSS&at_campaign=KARANGA,"The industry says online gaming involves skill but critics say it is gambling, which is illegal in India."
Sri Lanka protests: Why rioters attacked a museum in Sri Lanka,https://www.bbc.co.uk/news/world-asia-61408392?at_medium=RSS&at_campaign=KARANGA,A museum dedicated to the country's ruling family is trashed by anti-government protesters.
Tom Hiddleston: Why we all need monsters and myths,https://www.bbc.co.uk/news/entertainment-arts-61221888?at_medium=RSS&at_campaign=KARANGA,The Loki star on his thought-provoking role as a Victorian pastor in TV series The Essex Serpent.
Ipob: Nigerian 'media warriors' call for killings on social media over Biafra,https://www.bbc.co.uk/news/world-africa-61354014?at_medium=RSS&at_campaign=KARANGA,The BBC investigates a network of Nigerian separatists outside the country urging violence online.
The black evangelical women who'll decide who governs Brazil,https://www.bbc.co.uk/news/world-latin-america-61412663?at_medium=RSS&at_campaign=KARANGA,Evangelical Christian women of colour were kingmakers in Brazil's last presidential election and look set to be so again.
The Ukrainian refugee schoolgirl learning fast in the UK,https://www.bbc.co.uk/news/education-61396730?at_medium=RSS&at_campaign=KARANGA,"Ukrainian refugee Marharyta, nine, is learning English as she waits to start school in Manchester."
Ukraine: The BBC has seen evidence of possible war crimes committed by Russian soldiers,https://www.bbc.co.uk/news/world-europe-61426127?at_medium=RSS&at_campaign=KARANGA,The BBC has obtained CCTV footage of the killing of two civilians in cold blood by Russian soldiers that is now being investigated by prosecutors as a suspected war crime.
We're ready to consider Nato membership - Finland's foreign minister,https://www.bbc.co.uk/news/world-europe-61419422?at_medium=RSS&at_campaign=KARANGA,Foreign Minister Pekka Haavisto tells the BBC that that he wants Finland to join Nato as soon as possible.
Air traffic controller on helping passenger land plane after pilot fell ill,https://www.bbc.co.uk/news/world-us-canada-61424113?at_medium=RSS&at_campaign=KARANGA,Robert Morgan talked passenger Darren Harrison through landing a plane after the pilot fell ill.
Passers-by in Florida rush to stop moving car with ill driver,https://www.bbc.co.uk/news/world-us-canada-61415679?at_medium=RSS&at_campaign=KARANGA,The car is seen drifting towards traffic before strangers intervened on a busy road in Florida.
Joly Germine: Haitian gang leader indicted over missionary abductions,https://www.bbc.co.uk/news/world-us-canada-61412343?at_medium=RSS&at_campaign=KARANGA,Joly Germine allegedly directed the kidnappings of 17 Christian missionaries from a Haitian prison.
