title,link,description
RECOMMENDED — Worried about the global fertilizer shortage? You're in luck. The human bladder is a fountain of nitrogen and micronutrients,https://www.dw.com/en/recommended-worried-about-the-global-fertilizer-shortage-you-re-in-luck-the-human-bladder-is-a-fountain-of-nitrogen-and-micronutrients/a-61737037?maca=en-rss-en-all-1573-rdf,All eyes are on our food systems as the Russia-Ukraine war further pushes up fertilizer prices. Scientists think our urine could be the solution to helping crops grow and strengthening food security.
Finland's ruling party backs NATO bid,https://www.dw.com/en/finland-s-ruling-party-backs-nato-bid/a-61796426?maca=en-rss-en-all-1573-rdf,The decision to join the defense alliance was endorsed by Finnish President Sauli Niinisto and Prime Minister Sanna Marin earlier this week.
Bayern Munich's Bundesliga dominance not a barrier to Asian popularity,https://www.dw.com/en/bayern-munich-s-bundesliga-dominance-not-a-barrier-to-asian-popularity/a-61791958?maca=en-rss-en-all-1573-rdf,Competition for fans and revenue in Asia is fierce but strong social media work and success in Europe have rendered Bayern's domestic dominance less of an issue. The threat of the Premier League remains.
Even isolated states like North Korea get COVID,https://www.dw.com/en/even-isolated-states-like-north-korea-get-covid/a-61790865?maca=en-rss-en-all-1573-rdf,Viruses don't respect national borders. Now even North Korea is dealing with COVID-19. We look at how countries fared by isolating fully in the pandemic.
Eurovision favorite: Ukraine's Kalush Orchestra's story,https://www.dw.com/en/eurovision-favorite-ukraine-s-kalush-orchestra-s-story/a-61790288?maca=en-rss-en-all-1573-rdf,It's rare in the Eurovision Song Contest's history that a song is a clear favorite weeks before the grand final. The fact that Ukraine's Kalush Orchestra is participating is more than a musical contribution.
How two Ukrainian art dealers rescued valuable paintings,https://www.dw.com/en/how-two-ukrainian-art-dealers-rescued-valuable-paintings/a-61785824?maca=en-rss-en-all-1573-rdf,"Both managed to save contemporary artworks from their gallery and transported them from Kyiv to Munich, where Ievgen Petrov's paintings are now on show."
Germany: Knife attack on train leaves several wounded,https://www.dw.com/en/germany-knife-attack-on-train-leaves-several-wounded/a-61789867?maca=en-rss-en-all-1573-rdf,At least six people were wounded after an assailant attacked them with a knife on a passenger train near the western German city of Aachen. The suspect has been detained by police.
Germany plans €9 ticket to offset the impact of the Ukraine war,https://www.dw.com/en/germany-plans-€9-ticket-to-offset-the-impact-of-the-ukraine-war/a-61788020?maca=en-rss-en-all-1573-rdf,"With energy prices soaring, Germany wants to slash the cost of public transport — for three months. But the plan has its detractors."
The centuries-old Oberammergau Passion Play is back,https://www.dw.com/en/the-centuries-old-oberammergau-passion-play-is-back/a-61782655?maca=en-rss-en-all-1573-rdf,"Held every 10 years since the 17th century, the Oberammergau Passion Play is on again, two years later than scheduled due to the pandemic. It comes with unusual rituals."
What caused the lastest cryptocrash?,https://www.dw.com/en/what-caused-the-lastest-cryptocrash/a-61787326?maca=en-rss-en-all-1573-rdf,"Cryptocurrency investors fled from the risky asset after one of the most trusted coins, Terra, took a nosedive. A prolonged dip could destabilize emerging markets like El Salvador."
Germany logs rise in right-wing extremist cases in security agencies,https://www.dw.com/en/germany-logs-rise-in-right-wing-extremist-cases-in-security-agencies/a-61787235?maca=en-rss-en-all-1573-rdf,"Members of Germany's security agencies were found to have participated in right-wing extremist events and chats. In some instances, they took part in ""Heil Hitler"" chants and Hitler salutes, an official report revealed."
Eurovision contestants for finals are set,https://www.dw.com/en/eurovision-contestants-for-finals-are-set/a-61785132?maca=en-rss-en-all-1573-rdf,"The second Eurovision Song Contest semifinal saw 18 countries compete on Thursday evening. With few surprises, 10 qualified for the finals."
How cybercrime laws are used to silence dissent in Middle East,https://www.dw.com/en/how-cybercrime-laws-are-used-to-silence-dissent-in-middle-east/a-61761603?maca=en-rss-en-all-1573-rdf,Middle Eastern countries are increasingly misusing cybercrime legislation to silence dissent and curb freedom of speech. Could a new global cybercrime framework under UN supervision save critics in the Middle East?
The perilous life of migratory birds,https://www.dw.com/en/the-perilous-life-of-migratory-birds/a-61710214?maca=en-rss-en-all-1573-rdf,"Climate change is making their journeys longer and harder, window panes and power lines are deadly obstacles, and hunters lie in wait with nets. But there is plenty we can do to help, not harm, our feathered friends."
Speak up! What your voice reveals about your character,https://www.dw.com/en/speak-up-what-your-voice-reveals-about-your-character/a-61733611?maca=en-rss-en-all-1573-rdf,"When we listen to a voice, we automatically connect it to the person's personality. But what does the voice actually say about a human's character?"
Astronomers produce first image of black hole at center of Milky Way,https://www.dw.com/en/astronomers-produce-first-image-of-black-hole-at-center-of-milky-way/a-61776464?maca=en-rss-en-all-1573-rdf,"Scientists theorize that ""supermassive black holes"" lie at the center of all galaxies, including our own. ""Sagittarius A*"" is orders of magnitude more dense than the sun but it's also quite some distance from Earth."
Tokyo's stylish public toilets inspire filmmaker Wim Wenders,https://www.dw.com/en/tokyo-s-stylish-public-toilets-inspire-filmmaker-wim-wenders/a-61772123?maca=en-rss-en-all-1573-rdf,"The German director is making a film about public restrooms designed by renowned architects. The high-end toilets are the symbol of ""Japan's world-renowned hospitality culture."""
