title,link,description
Wartime stress in Ukraine: more babies born prematurely,https://www.dw.com/en/wartime-stress-in-ukraine-more-babies-born-prematurely/a-61760464?maca=en-rss-en-all-1573-rdf,"Extreme stress has been part of life for many people in Ukraine since the beginning of the war. In pregnant women, anxiety and stress often cause health problems. Jan-Philipp Scholz visited a maternity clinic in Lviv."
Digital pet Tamagotchi turns 25,https://www.dw.com/en/digital-pet-tamagotchi-turns-25/a-61709227?maca=en-rss-en-all-1573-rdf,"Adorable, or annoying? The tiny digital egg beeped in the pockets of millions of children all over the world. But the hype surrounding the little nuisance ended as quickly as it began."
How Russia and China exploit history to further their interests,https://www.dw.com/en/how-russia-and-china-exploit-history-to-further-their-interests/a-61758818?maca=en-rss-en-all-1573-rdf,The arbitrariness in the way they deal with their own national history helps Chinese President Xi Jinping and Russian leader Vladimir Putin secure power and justify their policies.
Results: This is your favorite flower!,https://www.dw.com/en/results-this-is-your-favorite-flower/a-61760931?maca=en-rss-en-all-1573-rdf,"Spring is well underway in Europe, breathing new life into the natural world. The first flowers to emerge from the ground include snowdrops, tulips, primulas, narcissi, hyacinths and crocuses."
"UK, Sweden sign defense pact during Johnson visit",https://www.dw.com/en/uk-sweden-sign-defense-pact-during-johnson-visit/a-61760042?maca=en-rss-en-all-1573-rdf,"British Prime Minister Boris Johnson said the UK would ""provide support"" if Sweden were to be attacked. The agreement comes as Sweden and Finland are set to decide whether to join NATO."
Ukraine: Pro-Russia leaders plan to ask Putin to annex Kherson — live updates,https://www.dw.com/en/ukraine-pro-russia-leaders-plan-to-ask-putin-to-annex-kherson-live-updates/a-61753566?maca=en-rss-en-all-1573-rdf,"Meanwhile, Ukrainian officials say Russian forces are being driven out of villages near Kharkiv. And Ukrainian soldiers are in Germany for howitzer training. DW has the latest."
Ukraine among 10 first Eurovision finalists,https://www.dw.com/en/ukraine-among-10-first-eurovision-finalists/a-61756131?maca=en-rss-en-all-1573-rdf,A total of 17 songs were presented during the first semifinal of the Eurovision Song Contest. Viewers have selected 10 acts that will compete in the finals on Saturday.
"China, Ukraine set to dominate EU-Japan summit",https://www.dw.com/en/china-ukraine-set-to-dominate-eu-japan-summit/a-61757029?maca=en-rss-en-all-1573-rdf,Tokyo is showing an increasing willingness to play a larger role in global security issues as it seeks support from Europe for its own most pressing concern — an increasingly influential and expansionist Beijing.
Africa's COVID-19 vaccine production line in jeopardy,https://www.dw.com/en/africa-s-covid-19-vaccine-production-line-in-jeopardy/a-61756730?maca=en-rss-en-all-1573-rdf,"A year ago, South Africa celebrated the opening of the continent's first COVID-19 vaccine production line. Now it's at risk of being shut down due to low demand."
Wildfires in Russia: Will war in Ukraine limit firefighting response?,https://www.dw.com/en/wildfires-in-russia-will-war-in-ukraine-limit-firefighting-response/a-61753044?maca=en-rss-en-all-1573-rdf,"The fire season has started early in Siberia, as drought and strong winds fuel blazes in its carbon-rich peat forests. But with Russian forces fighting in Ukraine, this year's emergency response could suffer."
Opinion: UEFA ushers in Super League by stealth,https://www.dw.com/en/opinion-uefa-ushers-in-super-league-by-stealth/a-61755698?maca=en-rss-en-all-1573-rdf,"In passing men's Champions League ""reforms,"" football’s so-called protectors have let the game down, says Matt Pearson. The big clubs are once again getting what they want. In football, it seems that greed is god."
Documenta curators denounce 'racist effects' of 'antisemitism rumors',https://www.dw.com/en/documenta-curators-denounce-racist-effects-of-antisemitism-rumors/a-61692036?maca=en-rss-en-all-1573-rdf,"Discussions on the topic of artistic freedom, which had planned to address accusations of antisemitism, were cancelled: The art show's curators, ruangrupa, have published an open letter on the accusations."
Sri Lanka extends curfew after days of deadly protests,https://www.dw.com/en/sri-lanka-extends-curfew-after-days-of-deadly-protests/a-61754674?maca=en-rss-en-all-1573-rdf,"The president has warned against ""racial and religious disharmony."" Police have received orders to use live ammunition against protesters deemed to be participating in violence."
UK threatens to scrap parts of Brexit deal over N. Ireland,https://www.dw.com/en/uk-threatens-to-scrap-parts-of-brexit-deal-over-n-ireland/a-61755453?maca=en-rss-en-all-1573-rdf,"Britain said it would ""not shy away from taking action"" over post-Brexit trade tensions in Northern Ireland as it rejected EU proposals to resolve the standoff."
COVID: EU drops air travel face mask mandate,https://www.dw.com/en/covid-eu-drops-air-travel-face-mask-mandate/a-61756356?maca=en-rss-en-all-1573-rdf,"The masks were introduced to help reduce the spread of COVID-19, but will no longer be mandatory in airports and on flights to Europe from next week onwards."
Ukrainian troops arrive in Germany for howitzer training,https://www.dw.com/en/ukrainian-troops-arrive-in-germany-for-howitzer-training/a-61755368?maca=en-rss-en-all-1573-rdf,Around 60 Ukrainian soldiers have arrived in western Germany to begin training on the howitzer 2000 artillery system. The German government has pledged to send seven of the self-propelled weapons.
Al Jazeera says reporter killed in West Bank,https://www.dw.com/en/al-jazeera-says-reporter-killed-in-west-bank/a-61754113?maca=en-rss-en-all-1573-rdf,"According to the Qatar-based broadcaster, reporter Shireen Abu Akleh was shot while covering clashes in the city of Jenin in the West Bank."
