Name
Chernivtsi International Airport
Dnipropetrovsk International Airport
Kharkiv International Airport
Kyiv Airport
Ivano Frankivsk Airport
Boryspil
Kherson International Airport
Kryvyi Rih International Airport
Lviv International Airport
Mykolaiv International Airport
Odessa International Airport
Zaporizhia International Airport
Simferopol Airport
Uzhhorod International Airport
Vinnytsia Airport
Hostomel
