titles,descriptions,links,pubDates
Your Friday Briefing: The Fateful Bullet ,Israeli and Palestinian authorities are divided over how to investigate the killing of the Al Jazeera journalist in the West Bank. ,https://www.nytimes.com/2022/05/12/briefing/al-jazeera-palestine-journalist-israel.html ,"Thu, 12 May 2022 21:11:20 +0000 "
F.B.I. Told Israel It Wanted Pegasus Hacking Tool for Investigations ,A 2018 letter from the bureau to the Israeli government is the clearest documentary evidence to date that the agency weighed using the spyware for law enforcement operations. ,https://www.nytimes.com/2022/05/12/us/politics/fbi-pegasus-spyware-israel.html ,"Thu, 12 May 2022 19:12:44 +0000 "
Biden Administration Cancels Oil Drilling Sales in Alaska and Gulf of Mexico ,Republicans link the move to rising gas prices while the administration said it was a result of conflicting legal opinions and a lack of interest among bidders. ,https://www.nytimes.com/2022/05/12/climate/biden-oil-gas-lease-sales.html ,"Thu, 12 May 2022 15:53:20 +0000 "
U.K. Police Issue More Fines for Parties at Downing Street ,"Britain's prime minister, Boris Johnson, was not among those affected, his office said, though neither it, nor the police, named those who were. ",https://www.nytimes.com/2022/05/12/world/europe/downing-street-covid-lockdown.html ,"Thu, 12 May 2022 14:26:06 +0000 "
Thailand Is Easing Weed Laws and Giving Away Cannabis Plants ,The Southeast Asian country will soon allow residents to grow cannabis for medicinal use. Smoking pot recreationally still carries harsh penalties. ,https://www.nytimes.com/2022/05/12/world/asia/thailand-legal-weed-plant.html ,"Thu, 12 May 2022 13:31:12 +0000 "
Who Is 'Wagatha Christie'? Let Us Explain. ,The feud between two television personalities has made its way to a London courtroom and the front of British tabloids. Let us explain. ,https://www.nytimes.com/2022/05/12/world/europe/wagatha-christie-trial.html ,"Thu, 12 May 2022 18:09:54 +0000 "
"At Biden's Summit, Other Nations Pledge Billions to Bolster Pandemic Response ",The meeting was meant to reinvigorate the response as vaccination and testing lag. Many attendees said Covid fatigue had become nearly as big a danger as Covid itself. ,https://www.nytimes.com/2022/05/12/us/politics/biden-covid-summit.html ,"Thu, 12 May 2022 22:31:37 +0000 "
Inflation Anger ,Inflation is still high — and many Americans are upset. ,https://www.nytimes.com/2022/05/12/briefing/inflation-america-rising-prices.html ,"Thu, 12 May 2022 11:49:58 +0000 "
Biden Orders Federal Flags to Fly at Half-Staff as U.S. Covid Toll Nears One Million ,The president said in a formal statement that the United States must 'remain vigilant' against a virus that has 'forever changed' the country. ,https://www.nytimes.com/2022/05/12/us/biden-covid-deaths-flags-half-staff.html ,"Thu, 12 May 2022 20:23:09 +0000 "
These Dancers Escaped the War. Their Journeys Are Just Beginning. ,"Hundreds of ballet dancers and students fled Ukraine after Russia's invasion. With opportunities scarce, many will have to keep moving if they want to keep dancing. ",https://www.nytimes.com/2022/05/12/arts/ukraine-ballet-war.html ,"Thu, 12 May 2022 15:11:29 +0000 "
Finland's Leaders Urge NATO Membership 'Without Delay' ,Public opinion in Finland has shifted significantly in favor of joining the alliance in the 11 weeks since Russia invaded Ukraine. ,https://www.nytimes.com/2022/05/12/world/europe/finland-nato.html ,"Thu, 12 May 2022 17:10:26 +0000 "
Your Thursday Briefing ,Forecasts for the war in Ukraine. ,https://www.nytimes.com/2022/05/12/briefing/economic-war-ukraine-bulgaria-israel.html ,"Thu, 12 May 2022 09:51:00 +0000 "
The Milky Way's Black Hole Comes to Light ,The Event Horizon Telescope has once again caught sight of the “unseeable.” ,https://www.nytimes.com/2022/05/12/science/black-hole-photo.html ,"Fri, 13 May 2022 00:22:26 +0000 "
Your Thursday Briefing: A Journalist Killed in the West Bank ,Plus uncertainty about China's wheat harvest and religious violence in India. ,https://www.nytimes.com/2022/05/11/briefing/journalist-west-bank-al-jazeera.html ,"Wed, 11 May 2022 20:54:18 +0000 "
Ukraine Launches First War Crimes Trial for Russian Soldier ,A 21-year-old Russian soldier is accused of following orders to shoot an unarmed cyclist four days into Russia's invasion of Ukraine. ,https://www.nytimes.com/2022/05/11/world/europe/russia-war-crimes-trial-ukraine.html ,"Wed, 11 May 2022 22:16:04 +0000 "
"Only a Third of Americans Were Worried About Covid in April, Poll Finds ","The survey, from Gallup, was conducted between April 15 and April 23, at a time when new cases were increasing after plummeting from highs seen during the winter Omicron surge. ",https://www.nytimes.com/2022/05/11/us/covid-fears-us.html ,"Thu, 12 May 2022 02:19:12 +0000 "
Israel's Teetering Government Breathes Again as Arab Party Rejoins ,"A small Islamist party decided to end its freeze on participating in the fragile eight-way coalition, granting it at least a temporary reprieve. ",https://www.nytimes.com/2022/05/11/world/middleeast/israel-parliament-raam.html ,"Wed, 11 May 2022 17:36:36 +0000 "
Ukrainians Fight Russian Troops Up Close Along the Eastern Front ,"In some villages along the front, Ukrainian and Russian soldiers face off at close quarters, sometimes within eyesight of one another. ",https://www.nytimes.com/2022/05/11/world/europe/russia-ukraine-fighting-east.html ,"Thu, 12 May 2022 07:58:09 +0000 "
"Air Pollution Can Mean More, or Fewer, Hurricanes. It Depends Where You Live. ","Smog from factories and cars has led to more storms in the Atlantic Ocean, but fewer in the Pacific. A new study explains why. ",https://www.nytimes.com/2022/05/11/climate/air-pollution-hurricanes.html ,"Thu, 12 May 2022 12:22:22 +0000 "
