titles,descriptions,links,pubDates
 5 things we can learn from Marlene Dietrich," Marlene Dietrich died on May 6, 1992 — 30 years ago. She fled the Nazis and conquered Hollywood. She remains a role model in times of crisis.", https://www.dw.com/en/5-things-we-can-learn-from-marlene-dietrich/a-60195584?maca=en-rss-en-all-1573-rdf, 2022-05-05T13:58:00Z
 Ukraine: How farm vehicles stolen by Russia were remotely disabled," Russian soldiers looted combine harvesters and tractors worth millions of dollars from Ukraine, according to a media report. But the machinery was deactivated remotely before it could be put to use.", https://www.dw.com/en/ukraine-how-farm-vehicles-stolen-by-russia-were-remotely-disabled/a-61691839?maca=en-rss-en-all-1573-rdf, 2022-05-05T13:53:00Z
 Brittney Griner's Russian detention highlights WNBA's growing problem," The WNBA is seen as the world's best women's basketball league. However, the arrest of one of its biggest stars has highlighted problems involving time and money that are forcing players to go abroad in the off-season.", https://www.dw.com/en/brittney-griner-s-russian-detention-highlights-wnba-s-growing-problem/a-61692245?maca=en-rss-en-all-1573-rdf, 2022-05-05T13:53:00Z
 ECOWAS criticized over West African coups," The Economic Community of West African States has reacted to putsches in the region with appeals, sanctions or troop deployments. But criticism of the bloc's inconsistent actions is growing.", https://www.dw.com/en/ecowas-criticized-over-west-african-coups/a-61685721?maca=en-rss-en-all-1573-rdf, 2022-05-05T13:20:00Z
 Can Indonesia and Germany build ties ahead of major summits?," Indonesia has been invited by Germany to attend the G7 summit in June, raising hopes of more bilateral cooperation amid a thorny geopolitical landscape.", https://www.dw.com/en/can-indonesia-and-germany-build-ties-ahead-of-major-summits/a-61694532?maca=en-rss-en-all-1573-rdf, 2022-05-05T12:51:00Z
 EU threatens Vladimir Putin's Patriarch Kirill, Patriarch Kirill of Moscow is an ally of Russian President Vladimir Putin and shares his anti-Western views. That's made him a target of European Union sanctions., https://www.dw.com/en/eu-threatens-vladimir-putin-s-patriarch-kirill/a-61696343?maca=en-rss-en-all-1573-rdf, 2022-05-05T12:50:00Z
 Bank of England raises interest rates to 13-year-high, It is the fourth month in a row the central bank's Monetary Policy Committee has voted for a rise. Policymakers are currently trying to stem inflation amid high energy prices sparked partly by Russia's war in Ukraine., https://www.dw.com/en/bank-of-england-raises-interest-rates-to-13-year-high/a-61694671?maca=en-rss-en-all-1573-rdf, 2022-05-05T11:58:00Z
 Bitcoin boom spikes amid perceived risks, Central African Republic and El Salvador have made Bitcoin legal tender and Panama has approved a bill to regulate crypto assets. Experts warn that nations that adopt crypto currencies risk instability., https://www.dw.com/en/bitcoin-boom-spikes-amid-perceived-risks/a-61686615?maca=en-rss-en-all-1573-rdf, 2022-05-05T10:53:00Z
 Documenta cancels talks amid antisemitism row," The 2022 edition of the world-famous contemporary art show has suddenly axed discussions on the topic of artistic freedom, which had planned to address accusations of antisemitism.", https://www.dw.com/en/documenta-cancels-talks-amid-antisemitism-row/a-61692036?maca=en-rss-en-all-1573-rdf, 2022-05-05T10:52:00Z
" UK regional elections: Boris Johnson under scrutiny, historic vote in N. Ireland predicted"," The British prime minister has faced calls to step down after breaking COVID lockdown rules. In Northern Ireland, polls suggest the Irish nationalist party Sinn Fein could win the largest number of seats.", https://www.dw.com/en/uk-regional-elections-boris-johnson-under-scrutiny-historic-vote-in-n-ireland-predicted/a-61691869?maca=en-rss-en-all-1573-rdf, 2022-05-05T10:48:00Z
 New German open letter: 'Yes' to weapons for Ukraine," Pianist Igor Levit, Nobel laureate Herta Müller and 55 other intellectuals have sent an appeal to Chancellor Olaf Scholz. They say Germany should supply heavy weapons to Ukraine.", https://www.dw.com/en/new-german-open-letter-yes-to-weapons-for-ukraine/a-61692748?maca=en-rss-en-all-1573-rdf, 2022-05-05T10:25:00Z
 More than prayers: The faithful who aid Ukraine's front line," In western Ukraine, a religious community led by Greek-Catholic monks is supporting the war effort by providing clothes and medical supplies for soldiers on the front line.", https://www.dw.com/en/more-than-prayers-the-faithful-who-aid-ukraine-s-front-line/a-61689192?maca=en-rss-en-all-1573-rdf, 2022-05-05T10:18:00Z
 China's COVID curbs rattle EU business confidence," More European businesses in China are looking to shift their investments due to the country's strict coronavirus lockdowns, according to the European Chamber of Commerce.", https://www.dw.com/en/china-s-covid-curbs-rattle-eu-business-confidence/a-61691204?maca=en-rss-en-all-1573-rdf, 2022-05-05T08:56:00Z
