titles,descriptions,links,pubDates
Live Updates: Russia Pounds Ukrainian Towns Along Eastern Front as Commander Signals Broader Aims ,"After scaling back its publicly stated ambitions in Ukraine, a senior Russian military commander said on Friday that Moscow wanted complete control of all eastern and southern Ukraine. It was unclear if his comments reflected an official shift in Kremlin policy. ",https://www.nytimes.com/live/2022/04/22/world/ukraine-russia-war-news ,"Fri, 22 Apr 2022 18:49:05 +0000 "
One Ukrainian War Casualty: The World's Largest Airplane ,"Mriya, the world's largest aircraft, was destroyed in a pivotal battle at the start of the war. It was a beloved symbol for all of Ukraine but perhaps no one misses it more than its first pilot. ",https://www.nytimes.com/2022/04/22/world/europe/ukraine-airplane-russia-war-mriya.html ,"Fri, 22 Apr 2022 16:08:19 +0000 "
"As Marine Le Pen Moves Closer to French Presidency, Putin Ties Persist ","As elections approach Sunday, the far-right candidate is linked to the Russian president by a web of financial ties and a history of support that has hardly dimmed despite the war in Ukraine. ",https://www.nytimes.com/2022/04/22/world/europe/le-pen-putin-france-election.html ,"Fri, 22 Apr 2022 07:00:15 +0000 "
Aliou Cissé Has Senegal Ready to Shine in World Cup ,"Aliou Cissé, one of the best of a new generation of African coaches, has reinvented Senegal's national team and given the country a new sense of patriotism. His next goal: the World Cup. ",https://www.nytimes.com/2022/04/22/world/africa/aliou-cisse-soccer-senegal.html ,"Fri, 22 Apr 2022 14:11:53 +0000 "
Who Will France's Muslims Choose for President? ,"In Sunday's decisive runoff election, they have a distasteful choice between Macron and Le Pen. They won't necessarily back Macron. ",https://www.nytimes.com/2022/04/22/world/europe/france-muslims-presidential-vote.html ,"Fri, 22 Apr 2022 18:36:33 +0000 "
Afghanistan Mosque Explosion Kills 33 ,"The blast in Kunduz Province, in the north, was the latest in a series of attacks reminiscent of the past two decades of war. ",https://www.nytimes.com/2022/04/22/world/asia/afghanistan-mosque-attack.html ,"Fri, 22 Apr 2022 16:55:55 +0000 "
Brief Bouts of Unrest Erupt After Jerusalem Friday Prayers ,"The Aqsa Mosque compound, known to Jews as Temple Mount, was once again the scene of clashes as tens of thousands of Muslims gathered to worship. But the violence ended quickly. ",https://www.nytimes.com/live/2022/04/22/world/jerusalem-al-aqsa-mosque ,"Fri, 22 Apr 2022 18:38:09 +0000 "
President Moon Exchanges Farewell Letters With Kim Jong-un ,"President Moon Jae-in, who is barred from seeking re-election after his five-year term, and the North's leader had warm parting words amid a diplomatic stalemate. ",https://www.nytimes.com/2022/04/22/world/asia/north-korea-kim-moon-letters.html ,"Fri, 22 Apr 2022 04:39:34 +0000 "
E.U. Takes Aim at Social Media's Harms With Landmark New Law ,"The Digital Services Act would force Meta, Google and others to combat misinformation and restrict certain online ads. How European officials will wield it remains to be seen. ",https://www.nytimes.com/2022/04/22/technology/european-union-social-media-law.html ,"Fri, 22 Apr 2022 09:00:18 +0000 "
New Zealand Deal May Put Japan Closer to Intelligence Alliance ,The two countries announced a goal of “seamless” sharing of classified information as China moves to expand its influence in the Asia-Pacific region. ,https://www.nytimes.com/2022/04/22/world/asia/new-zealand-japan-intelligence.html ,"Fri, 22 Apr 2022 07:37:28 +0000 "
"Mwai Kibaki, Former President of Kenya, Dies at 90 ",He came to power promising to root out corruption and improve government transparency. But his tenure was blighted by widespread graft and a violent upheaval. ,https://www.nytimes.com/2022/04/22/world/africa/mwai-kibaki-kenya-dead.html ,"Fri, 22 Apr 2022 16:50:26 +0000 "
Explosion at Afghan Mosque Kills at Least 10 ,"The blast in Mazar-i-Sharif, one of Afghanistan's economic hubs, was the latest in a series of attacks on one of its religious minorities and was claimed by an ISIS affiliate. ",https://www.nytimes.com/2022/04/21/world/asia/afghanistan-mosque-bombing.html ,"Thu, 21 Apr 2022 18:04:13 +0000 "
This Spanish Village Has More Booksellers Than School Pupils ,"Urueña, in northwestern Spain, has fought depopulation by reinventing itself as a literary hub. The full-time population is still just 100, but there are 11 shops selling books. ",https://www.nytimes.com/2022/04/21/world/europe/uruena-spain-book-hub.html ,"Fri, 22 Apr 2022 02:56:04 +0000 "
"France's Presidential Election 2022: Your Runoff Questions, Answered ","President Emmanuel Macron will face Marine Le Pen, the far-right leader, in the runoff on Sunday. The outcome will be crucial for France and reverberate globally. ",https://www.nytimes.com/article/france-presidential-election-2022.html ,"Thu, 21 Apr 2022 14:03:49 +0000 "
