titles,descriptions,links,pubDates
 Western luxury brands squeezed by Ukraine conflict may look further east," Western luxury brands may no longer sell many goods to Russians due to sanctions on Moscow. With a market worth billions now off limits and Russian clients enraged, fashion houses could look further east to compensate.", https://www.dw.com/en/western-luxury-brands-squeezed-by-ukraine-conflict-may-look-further-east/a-61737523?maca=en-rss-en-all-1573-rdf, 2022-05-11T17:03:00Z
 France opens torture case against Interpol president," Ahmed Nasser Al-Raisi, who became president of the international police agency last year, is being accused of complicity in the torture of two British men who were detained in the UAE.", https://www.dw.com/en/france-opens-torture-case-against-interpol-president/a-61761785?maca=en-rss-en-all-1573-rdf, 2022-05-11T17:03:00Z
 How great power competition is complicating global cooperation," The emerging competition between Western democracies and authoritarian nations led by China poses serious challenges to the existing international system, say experts.", https://www.dw.com/en/how-great-power-competition-is-complicating-global-cooperation/a-61763223?maca=en-rss-en-all-1573-rdf, 2022-05-11T16:03:00Z
 EU plans crackdown on online child sexual abuse," The proposals would make it obligatory for companies operating in the EU to try to detect and report such cases, replacing a voluntary system that Brussels considers insufficient. Critics have raised privacy concerns.", https://www.dw.com/en/eu-plans-crackdown-on-online-child-sexual-abuse/a-61758237?maca=en-rss-en-all-1573-rdf, 2022-05-11T16:01:00Z
 Malawi struggles to curb human trafficking, Endemic poverty makes Malawi easy pickings for traffickers. The pandemic and fallout from Russia's war on Ukraine has exacerbated the situation despite government efforts to curb human trafficking., https://www.dw.com/en/malawi-struggles-to-curb-human-trafficking/a-61760165?maca=en-rss-en-all-1573-rdf, 2022-05-11T15:06:00Z
" Germany shifts focus of military missions in Mali, Niger", Germany is set to draw down its EU deployment in Mali and increase its UN deployment. France is withdrawing from Mali amid friction with the military junta there., https://www.dw.com/en/germany-shifts-focus-of-military-missions-in-mali-niger/a-61761235?maca=en-rss-en-all-1573-rdf, 2022-05-11T14:42:00Z
 Wartime stress in Ukraine: more babies born prematurely," Extreme stress has been part of life for many people in Ukraine since the beginning of the war. In pregnant women, anxiety and stress often cause health problems. Jan-Philipp Scholz visited a maternity clinic in Lviv.", https://www.dw.com/en/wartime-stress-in-ukraine-more-babies-born-prematurely/a-61760464?maca=en-rss-en-all-1573-rdf, 2022-05-11T14:34:00Z
 Digital pet Tamagotchi turns 25," Adorable, or annoying? The tiny digital egg beeped in the pockets of millions of children all over the world. But the hype surrounding the little nuisance ended as quickly as it began.", https://www.dw.com/en/digital-pet-tamagotchi-turns-25/a-61709227?maca=en-rss-en-all-1573-rdf, 2022-05-11T13:54:00Z
 How Russia and China exploit history to further their interests, The arbitrariness in the way they deal with their own national history helps Chinese President Xi Jinping and Russian leader Vladimir Putin secure power and justify their policies., https://www.dw.com/en/how-russia-and-china-exploit-history-to-further-their-interests/a-61758818?maca=en-rss-en-all-1573-rdf, 2022-05-11T13:16:00Z
 Results: This is your favorite flower!," Spring is well underway in Europe, breathing new life into the natural world. The first flowers to emerge from the ground include snowdrops, tulips, primulas, narcissi, hyacinths and crocuses.", https://www.dw.com/en/results-this-is-your-favorite-flower/a-61760931?maca=en-rss-en-all-1573-rdf, 2022-05-11T13:14:00Z
