name,alternate_names,code,population,latitude,longitude
Kotlovyna,"Bolboaca,Bolboaka,Bolboka,Bulboka,Kotlovina,Kotlovyna,Котловина",PPL,2643,45.50692,28.57438
Komarno,"Komarno,Комарно",PPL,3707,49.62785,23.69866
Kobyletska Polyana,"Carpinis,Cărpiniș,Gyertyanliget,Gyertyánliget,Kobilec'ka Poljana,Kobylecka Poljana,Kobyleckaja Poljana,Kobyletska Poliana,Кобилецька Поляна,Кобылецка Поляна,Кобылецкая Поляна",PPL,3483,48.06085,24.0719
Podviryvka,"Chisla-Zamjieva,Chișla-Zamjieva,Kishlo-Zamzhievo,Podvir'ivka,Podvirivka,Podvirïvka,Podvor'evka,Кишло-Замжієво,Подворьевка,Подвір'ївка",PPL,2310,48.31969,26.78609
Kaniv,"Kaneu,Kanev,Kaniow,Kaniv,Kaniva,Kanivas,Kaniw,Kaniów,Kaņiva,Kániv,ka ni fu,kaniu,kanyf,qnyb,Канев,Канеў,Канив,Канів,Կանև,קניב,کانیف,კანევი,カニウ,卡尼夫,카니우",PPLA2,23742,49.75187,31.47003
Kamiani Potoky,"Kamyani Potoky,Kam'jani Potoki,Kamenno-Pototskoye,Kamennye Potoki,Kamennyye Potok,Kamennyye Potoki,Kamiani Potoky,Kam”yani Potoky,Каменные Потоки,Кам’яні Потоки",PPL,3662,48.98,33.52557
Kalinino,"Kalinindorf,Kalinine,Kalinino,Калининдо́рф,Калинино,Калініне",PPLA3,1120,45.59521,34.2203
Hirnyk,"Girnik,Gornyak,Gruda,Hirnyk,Hryda,Kurahivka,Гірник,Курахівка",PPL,2843,50.33148,24.19538
Horishni Sherivtsi,"Gorishni Sherivci,Gorishniye Sherovtsy,Horichni Cherivtsi,Horichni Chérivtsi,Horishni Sherivtsi,Obersheroutsi,Горішні Шерівці",PPL,2793,48.39671,25.95269
Drabiv,"Drabiv,Drabov,Драбов,Драбів",PPLA2,6358,49.95891,32.15028
Chornivka,"Cernauca,Cernăuca,Chernovka,Chornivka,Tchornivka,Черновка,Чорнівка",PPL,2364,48.41751,26.01216
Bytkiv,"Bitkiv,Bitkow,Bitków,Bytkiv,Bytkov,Битків,Бытков",PPL,4354,48.63092,24.47118
Boikivshchyna,"Bajkovshhina,Baykovshchina,Boikivshchyna,Bojkivshhina,Boykivshchyna,Boykovshchina,Байковщина,Бойківщина",PPL,1580,49.91035,32.25007
Martynivske,"Martinivs'ke,Martynivske,Martynivské,Martynovskoe,Мартинівське,Мартыновское",PPL,2654,47.47077,31.27731
Berezivka,"Beresovka,Beresowka,Berezivka,Berezovka,Berëzovka,Bérézivka,Березовка,Березівка",PPLA2,9644,47.20037,30.90943
