title,link,description
Live Updates: Russia Moves to Annex Areas It Has Seized in Southeast Ukraine,https://www.nytimes.com/live/2022/05/19/world/russia-ukraine-war,"The territory occupied by Russian forces so far in the three-month-old invasion deserves “a worthy place in our Russian family,” a Kremlin official who toured the region said."
"Prince Charles and Camilla Visit Canada, Confronting Legacy of the Crown",https://www.nytimes.com/live/2022/05/19/world/prince-charles-canada-visit,"Prince Charles acknowledged the “suffering” of the Indigenous community in a visit to the Northwest Territories on the last day of his three-day tour of the country, where polls suggest there is little support for the monarchy."
How a Group of Female Independents Aims to Revive Australian Democracy,https://www.nytimes.com/2022/05/19/world/australia/federal-election-independents.html,"A community-driven movement has recruited around 25 candidates, most of them successful women preaching pragmatic reform. They could shape the balance of power after Saturday’s election."
"Hooked on Cheap Oil, Hungary Resists an Embargo on Russia",https://www.nytimes.com/2022/05/19/world/europe/hungary-russia-oil.html,Prime Minister Viktor Orban has promised voters to keep energy prices low. The dividends from taking Russian fuel also help fund the policies that have made Hungary a beacon for right-wing groups.
An Indian State Banned Alcohol. The Drinking Moved to Nearby Nepal.,https://www.nytimes.com/2022/05/19/world/asia/nepal-india-bihar-alcohol.html,"The ban in Bihar State, championed by local women, was aimed at tackling alcoholism and domestic violence. But a drinking scene has sprung up across the border in Nepal."
The 17th-Century English Judge Behind Abortion and Rape Rulings Today,https://www.nytimes.com/2022/05/19/world/asia/abortion-lord-matthew-hale.html,"Both in India and in the Roe v. Wade draft ruling roiling the United States, Lord Matthew Hale — an English judge who wrote that women were contractually obligated to husbands — still looms large."
"Israeli Government Loses Parliament Majority, Raising Prospect of Election",https://www.nytimes.com/2022/05/19/world/middleeast/israel-opposition-parliament-majority.html,"Increasing tensions between Israeli authorities and Palestinians have put pressure on the government, leading to the possibility of a fifth election in three years."
"In Ukraine, Gruesome Injuries and Not Enough Doctors to Treat Them",https://www.nytimes.com/2022/05/18/world/europe/ukraine-russia-war-doctors.html,"Operating with skeleton crews, doctors and nurses race to save limbs, and lives. It’s a grim routine for medical personnel often working around the clock. And not all limbs can be saved."
Japanese Man Gambles Away a Town’s Covid Funds,https://www.nytimes.com/2022/05/19/world/asia/japan-covid-relief-funds-gambler.html,"An official in the rural Japanese town wired the 24-year-old man nearly $360,000 by mistake. He lost it in online casinos. Now, the town is suing and he has been arrested."
"Around Kharkiv, Ukrainians Emerge to Find Lives in Ruin",https://www.nytimes.com/2022/05/18/world/europe/kharkiv-ukraine-russia-photos.html,"After sheltering underground since February, residents of the beseiged city have finally been able to to assess the damage the Russians left behind. The discoveries have been grisly."
Economic Headwinds Mount as Leaders Weigh Costs of Confronting Russia,https://www.nytimes.com/2022/05/18/us/politics/russia-finance-ministers-economy.html,Top economic officials are gathering this week to discuss how to keep pressure on Vladimir V. Putin without sinking their economies.
