title,link,description
"Explained: The mysterious monkeypox outbreak in UK, Europe",https://www.dw.com/en/explained-the-mysterious-monkeypox-outbreak-in-uk-europe/a-61859359?maca=en-rss-en-all-1573-rdf,"The UK and other European countries have reported a small number of human monkeypox infections, a virus rarely seen in Europe. Health services remain puzzled over how the virus is transmitted."
US Senate approves $40 billion Ukraine aid package — live updates,https://www.dw.com/en/us-senate-approves-40-billion-ukraine-aid-package-live-updates/a-61845391?maca=en-rss-en-all-1573-rdf,"Meanwhile, the first Russian soldier to face trial for killing a civilian has asked the man's widow for ""forgiveness."" Ukrainian President Zelenskyy has warned of a long war. Follow DW for the latest."
"Russia 'weaponizes' food security, US tells UN meeting",https://www.dw.com/en/russia-weaponizes-food-security-us-tells-un-meeting/a-61865923?maca=en-rss-en-all-1573-rdf,"Washington's top diplomat has called on Russia to lift a blockade on Ukraine's Black Sea ports, while Russia's UN envoy said it was ""absolutely false"" that Moscow was blamed for global food insecurity."
G7: Germany pledges €1 billion in grants for Ukraine,https://www.dw.com/en/g7-germany-pledges-€1-billion-in-grants-for-ukraine/a-61868266?maca=en-rss-en-all-1573-rdf,"The influx of cash aims to support the financing of Ukraine's government, as Russia's war has decimated tax revenue. The grant is part of over €18 billion pledged by G7 finance ministers during their summit in Germany."
Thailand: What happened to mass anti-government protests?,https://www.dw.com/en/thailand-what-happened-to-mass-anti-government-protests/a-61861179?maca=en-rss-en-all-1573-rdf,"In 2020, Thai youth sparked the largest wave of anti-government protests since the 2014 military coup. But human rights activists say persecutions and systematic harassment have weakened the pro-democracy movement."
Herbal medicines that really work,https://www.dw.com/en/herbal-medicines-that-really-work/a-61865033?maca=en-rss-en-all-1573-rdf,Medicines have been extracted from plants for thousands of years and new ones are still being discovered. Here are several plant extracts with robust medical benefits.
Taliban orders female TV presenters to cover face on air,https://www.dw.com/en/taliban-orders-female-tv-presenters-to-cover-face-on-air/a-61859653?maca=en-rss-en-all-1573-rdf,The Taliban authorities in Afghanistan have issued an official order that female journalists must cover their faces on television. The move comes days after authorities ordered women to cover their faces in public.
Historian Christopher Clark to receive European media award,https://www.dw.com/en/historian-christopher-clark-to-receive-european-media-award/a-61832172?maca=en-rss-en-all-1573-rdf,The eminent historian and academic is being awarded the Charlemagne Award for his work on Anglo-German history. We take a look at his illustrious career.
Germany: Ex-Chancellor Schröder loses part of state privileges,https://www.dw.com/en/germany-ex-chancellor-schröder-loses-part-of-state-privileges/a-61843090?maca=en-rss-en-all-1573-rdf,"The former chancellor has come under heavy criticism for refusing to distance himself from Russia and Vladimir Putin. Now the German government is planning to take away his office and staff, without touching his pension."
Champions League: How Barcelona rose to challenge Lyon's dominance,https://www.dw.com/en/champions-league-how-barcelona-rose-to-challenge-lyon-s-dominance/a-61826930?maca=en-rss-en-all-1573-rdf,"Lyon dominated women's football in Europe for an entire decade. However, this year's Champions League final against Barcelona could mark a changing of the guard, one the Catalans have long prepared for."
Guinea-Bissau's political crisis deepens,https://www.dw.com/en/guinea-bissau-s-political-crisis-deepens/a-61853451?maca=en-rss-en-all-1573-rdf,Opposition parties and constitutional experts have slammed President Umaro Sissoco Embalo's decision to dissolve parliament. The move has heightened fears in the coup-prone West African nation.
European Parliament backs sanctions against Germany's ex-Chancellor Gerhard Schröder,https://www.dw.com/en/european-parliament-backs-sanctions-against-germany-s-ex-chancellor-gerhard-schröder/a-61853701?maca=en-rss-en-all-1573-rdf,The parliament has called for sanctions on former German Chancellor Gerhard Schröder because of his links to Russia.
UK: Police end inquiry into 'Partygate' scandal at Downing Street,https://www.dw.com/en/uk-police-end-inquiry-into-partygate-scandal-at-downing-street/a-61852967?maca=en-rss-en-all-1573-rdf,Police have ended an investigation into breaches of COVID lockdown rules that sparked outrage across the United Kingdom. Prime Minister Boris Johnson has not received any more fines.
