title,link,description
Opinion: Elon Musk's ridiculous Twitter poll,https://www.dw.com/en/opinion-elon-musk-s-ridiculous-twitter-poll/a-64157512?maca=en-rss-en-all-1573-rdf,"Since the egomaniacal billionaire took over Twitter, the platform has fallen into complete disarray. Now, Elon Musk has put himself up for a vote. But Martin Muno believes it's all just for show."
Menorah from iconic photo returns to Germany for Hanukkah,https://www.dw.com/en/menorah-from-iconic-photo-returns-to-germany-for-hanukkah/a-64157782?maca=en-rss-en-all-1573-rdf,A Hanukkah menorah at the center of the most searing images of the Nazis' rise was lit in the German capital 90 years after the family who owned it fled the looming Holocaust.
US Jan. 6 committee recommends Trump be criminally charged,https://www.dw.com/en/us-jan-6-committee-recommends-trump-be-criminally-charged/a-64155816?maca=en-rss-en-all-1573-rdf,The bipartisan committee urged the Justice Department to prosecute Donald Trump for his part in the deadly riot. It is the first time in US history that Congress has recommended charges against a former president.
Qatar World Cup: Air traffic spike casts doubt on carbon neutrality claim,https://www.dw.com/en/qatar-world-cup-air-traffic-spike-casts-doubt-on-carbon-neutrality-claim/a-64130119?maca=en-rss-en-all-1573-rdf,"Host nation Qatar claimed it would be staging a carbon-neutral football World Cup. However, the emirate's eco-measures were dwarfed by a significant increase in air traffic during the tournament."
US Vice President Kamala Harris: How is she doing?,https://www.dw.com/en/us-vice-president-kamala-harris-how-is-she-doing/a-64155494?maca=en-rss-en-all-1573-rdf,Kamala Harris is the first female vice president in US history. She is now two years into her term in a job that has been far from easy. But is the VP doing what is necessary to fulfill her role?
EU agrees to gas price cap,https://www.dw.com/en/eu-agrees-to-gas-price-cap/a-64154256?maca=en-rss-en-all-1573-rdf,"After months of negotiation, the EU reached an agreement on a gas price cap at 180€ per megawatt hour. However, concerns remained about its impact on gas supplies."
"RECOMMENDED — World strikes ""the largest agreement to protect land and sea in history"" at COP15",https://www.dw.com/en/recommended-world-strikes-the-largest-agreement-to-protect-land-and-sea-in-history-at-cop15/a-64154127?maca=en-rss-en-all-1573-rdf,"Global leaders have agreed to protect and restore a third of the Earth's natural areas, and eliminate or redirect $500 billion from environmentally harmful subsidies to fund the deal."
'Fortnite' creator to pay $520 million to settle complaints,https://www.dw.com/en/fortnite-creator-to-pay-520-million-to-settle-complaints/a-64155242?maca=en-rss-en-all-1573-rdf,Epic Games is accused of collecting children's information and deceptive billing in the popular videogame. US regulators have also said that the games voice chat options must be turned off for younger children.
Former African leaders' mediation efforts under scrutiny,https://www.dw.com/en/former-african-leaders-mediation-efforts-under-scrutiny/a-64128498?maca=en-rss-en-all-1573-rdf,"Former African heads of state play a significant role in mediating conflicts across Africa. However, some lack an understanding of the complexities and don't have language skills, which dents their mediation efforts."
EU accuses Facebook parent Meta of distorting ads market,https://www.dw.com/en/eu-accuses-facebook-parent-meta-of-distorting-ads-market/a-64154147?maca=en-rss-en-all-1573-rdf,"The EU's competition watchdog has accused tech giant Meta, which owns Facebook and Instagram, of breaching antitrust rules. An early analysis says the firm distorted competition in the online classified ads business."
Iranian footballer reportedly facing execution,https://www.dw.com/en/iranian-footballer-reportedly-facing-execution/a-64153604?maca=en-rss-en-all-1573-rdf,The Islamic Republic of Iran is reported to be planning to execute professional footballer Amir Nasr-Azadani. Former Wolfsburg and Hertha Berlin player Ashkan Dejagah has been barred from leaving the country.
Helene Cixous: Iranian women and 'the desire for freedom',https://www.dw.com/en/helene-cixous-iranian-women-and-the-desire-for-freedom/a-64151359?maca=en-rss-en-all-1573-rdf,French feminist and author Helene Cixous speaks to DW about the courage shown by women protesting in Iran and what the movement means for the country.
Argentina's emotional rollercoaster to roll on — at a more leisurely pace,https://www.dw.com/en/argentina-s-emotional-rollercoaster-to-roll-on-at-a-more-leisurely-pace/a-64149546?maca=en-rss-en-all-1573-rdf,"Since Argentina clinched their third World Cup, Buenos Aires has been setting new standards in celebrations. As Argentines enjoy a historic moment, the question of what comes next has been set aside — for now."
EU reacts to Indonesia's law banning sex outside marriage,https://www.dw.com/en/eu-reacts-to-indonesia-s-law-banning-sex-outside-marriage/a-64151556?maca=en-rss-en-all-1573-rdf,"Indonesia recently passed a law that drew criticism for criminalizing premarital and extramarital sex, among other things. It also mandates punishments for ""insulting"" the president."
Weather forecasting: Will it rain today? No one really knows,https://www.dw.com/en/weather-forecasting-will-it-rain-today-no-one-really-knows/a-64107411?maca=en-rss-en-all-1573-rdf,"The English say so much depends on the weather, from battles in war to aid work. But our predictions are seldom perfect."
Netherlands apologizes for role in historic slave trade,https://www.dw.com/en/netherlands-apologizes-for-role-in-historic-slave-trade/a-64145265?maca=en-rss-en-all-1573-rdf,Prime Minister Mark Rutte apologized for Netherlands' slavery past. Some affected nations and groups have criticized the move.
World Cup: Kingsley Coman and the abyss of social media,https://www.dw.com/en/world-cup-kingsley-coman-and-the-abyss-of-social-media/a-64148115?maca=en-rss-en-all-1573-rdf,"After Kingsley Coman missed a penalty in the World Cup final shootout, Twitter and Instagram were flooded with racist messages directed at the French national team player. The pattern is all too familiar."
Puma tanks unusable: Is Germany's military unfit for action?,https://www.dw.com/en/puma-tanks-unusable-is-germany-s-military-unfit-for-action/a-63955452?maca=en-rss-en-all-1573-rdf,"Following Russia's attack on Ukraine, German leaders vowed to boost the Bundeswehr and take on a leading role in NATO. But now there is yet another debacle: All of the cutting-edge Puma tanks are unfit for action."
Swedish court stops extradition of Turkish journalist,https://www.dw.com/en/swedish-court-stops-extradition-of-turkish-journalist/a-64148781?maca=en-rss-en-all-1573-rdf,The Swedish Supreme Court has blocked the extradition to Turkey of an exiled journalist. President Erdogan had demanded the return of Bulent Kenes as a condition of Sweden's NATO membership.
UK court rules Rwanda deportations plan lawful,https://www.dw.com/en/uk-court-rules-rwanda-deportations-plan-lawful/a-64144757?maca=en-rss-en-all-1573-rdf,London's High Court said Britain's plan to send asylum seekers to Rwanda is legal. A planned deportation flight in June was blocked by the European Court of Human Rights (ECHR).
"Germany: Black ice unleashes road, rail and air travel woes",https://www.dw.com/en/germany-black-ice-unleashes-road-rail-and-air-travel-woes/a-64146543?maca=en-rss-en-all-1573-rdf,"Black ice has wreaked transport misery across Germany, with weather warnings, flight cancellations, and at least one fatality. Forecasters have warned the conditions could further disrupt road and railway traffic."
Travel trend: Hitting the road solo gains in popularity,https://www.dw.com/en/travel-trend-hitting-the-road-solo-gains-in-popularity/a-64108887?maca=en-rss-en-all-1573-rdf,"Traveling alone is increasingly common in Germany and Europe. From clubbing holidays to rooming with strangers, tour operators are adapting to the trend."
What makes 'Avatar: The Way of Water' so special?,https://www.dw.com/en/what-makes-avatar-the-way-of-water-so-special/a-64078820?maca=en-rss-en-all-1573-rdf,It took 13 years: Now the sequel to the most successful film of all time is finally hitting theaters. Will James Cameron achieve the blockbuster hit he's hoping for?
COP15: UN conference reaches historic biodiversity deal,https://www.dw.com/en/cop15-un-conference-reaches-historic-biodiversity-deal/a-64146261?maca=en-rss-en-all-1573-rdf,Negotiators have signed off on a deal to protect 30% of land and water considered important for biodiversity by 2030. The agreement aims to stave off the possible extinction of thousands of animal and plant species.
Ukraine updates: Kyiv takes fire from drone attacks,https://www.dw.com/en/ukraine-updates-kyiv-takes-fire-from-drone-attacks/a-64144756?maca=en-rss-en-all-1573-rdf,Kyiv has reported another night of air alarms and said it has shot down several drones. The UK is set to announce plans to sending munitions through 2023. DW has the latest.
Russian clowns 'unlikely' to help troop morale in Ukraine,https://www.dw.com/en/russian-clowns-unlikely-to-help-troop-morale-in-ukraine/a-64138905?maca=en-rss-en-all-1573-rdf,"Efforts to send Russian circus performers and opera singers to the frontlines are unlikely to improve ""fragile morale,"" the UK has said. Meanwhile, heating has been restored to frigid Kyiv. DW has the latest."
Messi: 'I want to live a few more games as world champion',https://www.dw.com/en/messi-i-want-to-live-a-few-more-games-as-world-champion/a-64143910?maca=en-rss-en-all-1573-rdf,Lionel Messi admitted there is nothing else he can do in an Argentina shirt to eclipse what he has achieved in Qatar. But Argentina's World Cup hero hinted that he may yet prolong his international career.
Opinion: Spectacular World Cup final showed football will never belong to FIFA,https://www.dw.com/en/opinion-spectacular-world-cup-final-showed-football-will-never-belong-to-fifa/a-64143805?maca=en-rss-en-all-1573-rdf,"By handing the World Cup to Qatar to instrumentalize for geopolitical gain, FIFA sold football out. But Lionel Messi and Argentina showed that the beautiful game will always win, writes DW's Matt Ford."
Opinion: France is multicultural — get over it,https://www.dw.com/en/opinion-france-is-multicultural-get-over-it/a-64137657?maca=en-rss-en-all-1573-rdf,"The French national team is seen as an African team to many around the world, due to its multicultural nature. It's unfair on the players, on French football and most of all, French society, write's DW's Ali Farhat."
Argentina fans celebrate World Cup victory over France,https://www.dw.com/en/argentina-fans-celebrate-world-cup-victory-over-france/a-64143420?maca=en-rss-en-all-1573-rdf,"Hundreds of thousands of fans were seen celebrating in Buenos Aires after Argentina won the World Cup for the third time. Meanwhile, French President Emmanuel Macron tweeted that ""Les Bleus made us dream."""
Opinion: World Cup triumph means Messi is now the best,https://www.dw.com/en/opinion-world-cup-triumph-means-messi-is-now-the-best/a-64142803?maca=en-rss-en-all-1573-rdf,"The Argentina star deserves to be classed as the greatest male footballer of all time, not just for his trophies but for the way he plays the game, writes DW's Mark Meadows in Qatar."
World Cup: Messi leads Argentina to victory over France,https://www.dw.com/en/world-cup-messi-leads-argentina-to-victory-over-france/a-64140962?maca=en-rss-en-all-1573-rdf,"Argentina have won the World Cup for the third time after beating France on penalties in Doha. Lionel Messi scored twice as he finally got his hands on football's most coveted prize, cementing his legendary status."
German union Verdi urges Amazon strikes ahead of Christmas,https://www.dw.com/en/german-union-verdi-urges-amazon-strikes-ahead-of-christmas/a-64142193?maca=en-rss-en-all-1573-rdf,"The Verdi union announced work stoppages at seven distribution centers, but did not specify when they will be held. ""Colleagues are furious and don't want to be taken for fools,"" the union said."
Italian police arrest four over Milan New Year's assaults,https://www.dw.com/en/italian-police-arrest-four-over-milan-new-year-s-assaults/a-64141501?maca=en-rss-en-all-1573-rdf,Police in Italy pieced together online evidence and smartphone footage before detaining four Egyptian nationals. Two of the women attacked in Milan were German tourists.
Bosnians flee corruption and hopelessness,https://www.dw.com/en/bosnians-flee-corruption-and-hopelessness/a-64110355?maca=en-rss-en-all-1573-rdf,Criminal networks and poor prospects have sparked a mass exodus from Bosnia. Many feel abandoned by the international community.
Ukraine selects Eurovision 2023 song from bomb shelter,https://www.dw.com/en/ukraine-selects-eurovision-2023-song-from-bomb-shelter/a-64139853?maca=en-rss-en-all-1573-rdf,Ukraine has selected its official entry for the 2023 Eurovision Song Contest as artists gathered in a makeshift bomb shelter in Kyiv.
Germany's small hospitals are disappearing,https://www.dw.com/en/germany-s-small-hospitals-are-disappearing/a-64128586?maca=en-rss-en-all-1573-rdf,"One small hospital closes every month in Germany. Politicians say there are too many, and the health care system can't afford to keep them all open. But their critics say patients may die due to closures."
'Tis the season for the ugly Christmas sweater,https://www.dw.com/en/tis-the-season-for-the-ugly-christmas-sweater/a-36764775?maca=en-rss-en-all-1573-rdf,"From the US to the UK and even Germany — it's time again to dig out and actually wear that ugly Christmas sweater. Yes, the gaudy one with Santa, elves and real jingle bells. Here are some of our favorites."
"Dutch slavery apology won't be enough, descendants say",https://www.dw.com/en/dutch-slavery-apology-won-t-be-enough-descendants-say/a-64113195?maca=en-rss-en-all-1573-rdf,"The government in the Netherlands, one of the last European nations to abolish slavery, is set to make a historic apology. But some on the receiving end say they've not been consulted."
Eight candles and a helper: Hanukkah,https://www.dw.com/en/eight-candles-and-a-helper-hanukkah/a-59929510?maca=en-rss-en-all-1573-rdf,"Starting on December 18, Jews will celebrate the eight-day festival of Hanukkah, commemorating the rededication of Jerusalem's Second Temple in 200 BC."
