name,latitude,longitude,inf_type,population
Boyarka,50.3356709,30.2847595,City/Town,35312
Slavuta,50.2962398,26.8658254,City/Town,35068
Sambir,49.5182487,23.1969805,City/Town,34823
Yasynuvata,48.1270606,37.8590172,City/Town,34269
Starokostiantyniv,49.756163,27.2087889,City/Town,34232
Zhmerynka,49.0354593,28.1147317,City/Town,34097
Voznesensk,47.5679582,31.3338636,City/Town,34050
Obukhiv,50.1101633,30.6269696,City/Town,33443
Boryslav,49.28860165,23.41735375217583,City/Town,32913
Yuzhne,46.6225029,31.0994897,City/Town,32745
Vyshhorod,50.5824332,30.485121,City/Town,32396
Hlukhiv,51.67831,33.9093,City/Town,32248
Avdiivka,48.1338824,37.7466719,City/Town,31940
Chuhuiv,49.8363648,36.6898157,City/Town,31575
Toretsk,48.3970469,37.8501378,City/Town,31513
Novoiavorivsk,49.9316152,23.5661291,City/Town,31280
Kostopil,50.88283,26.4513,City/Town,31060
Alushta,44.677112,34.4095393,City/Town,30194
Mohyliv-Podilskyi,48.442544,27.7991124,City/Town,30186
Tokmak,47.2557432,35.7021159,City/Town,30132
Synelnykove,48.3269304,35.5246984,City/Town,30021
Pervomaiskyi,49.37393,36.22089,City/Town,28986
Sarny,51.3350028,26.6171275,City/Town,28865
Dobropillia,48.4683035,37.0903243,City/Town,28757
Truskavets,49.2783459,23.5064459,City/Town,28474
Chortkiv,49.0160555,25.7925191,City/Town,28393
Khust,48.1764917,23.291166,City/Town,28206
Novyi Rozdil,49.4696071,24.1386133,City/Town,28081
Pershotravensk,48.3505864,36.402296,City/Town,27573
Zolotonosha,49.6689719,32.0427439,City/Town,27458
Kirovske,48.1456309,38.3545249,City/Town,27441
Ternivka,48.5222847,36.0713939,City/Town,27305
Kupiansk,49.7132963,37.6141992,City/Town,27169
Khmilnyk,49.556175,27.9491205,City/Town,27158
Balakliia,49.4628203,36.8786912,City/Town,26921
Kirovsk,48.6330064,38.64075242340907,City/Town,26838
Pereiaslav,50.0643984,31.4447327,City/Town,26576
Bakhchysarai,44.7522963,33.8534782,City/Town,26090
Haisyn,48.8120874,29.3893874,City/Town,25883
Malyn,50.7680258,29.2647319,City/Town,25587
Vynohradiv,48.1403967,23.036008,City/Town,25442
Perevalsk,48.44009,38.79959,City/Town,24919
Slavutych,51.5201397,30.7562301,City/Town,24685
Krasnoperekopsk,45.9570132,33.81688054853405,City/Town,24660
Zdolbuniv,50.53309135,26.248762195978088,City/Town,24642
Korostyshiv,50.3201518,29.0584885,City/Town,24490
Oleshky,46.6249473,32.7251086,City/Town,24383
Debaltseve,48.3331084,38.4047549,City/Town,24316
Saky,45.1319466,33.6001281,City/Town,24282
Lebedyn,50.5814148,34.4761301,City/Town,24238
Zolochiv,50.2790531,35.9824347,City/Town,23986
Kaniv,49.7551031,31.4610802,City/Town,23503
Berehove,48.2050985,22.6453246,City/Town,23485
Brody,50.0833041,25.1437921,City/Town,23335
Hadiach,50.3701299,33.9950534,City/Town,23172
Dokuchaievsk,47.7499257,37.6715943,City/Town,22907
Koziatyn,49.7195867,28.8354279,City/Town,22634
Ladyzhyn,48.6810505,29.2567642,City/Town,22593
Nadvirna,48.6335887,24.5684038,City/Town,22545
Molodohvardiisk,48.3459067,39.6524188,City/Town,22514
Vilnohirsk,48.49365,34.02328,City/Town,22458
Krolevets,51.5548654,33.3875984,City/Town,22437
Selydove,48.15015,37.3018921,City/Town,21916
Znamianka,48.7199609,32.6659476,City/Town,21749
Volnovakha,47.5984285,37.4998511,City/Town,21441
