name,latitude,longitude,inf_type,population
Arbuzynka,47.9009332,31.317124,City/Town,
Archepytivka,47.9099914,30.1478296,City/Town,
Ardanovo,48.3351022,22.9486032,City/Town,
Arepivka,48.4189194,31.6871827,City/Town,
Arkadiievka,45.0362602,33.9154796,City/Town,
Arkadiivka,50.5606276,31.868965,City/Town,
Arkadiivtsi,49.511042,27.1622665,City/Town,
Arkadivka,49.7732473,37.2622982,City/Town,
Arkavske,50.963996,34.4726228,City/Town,
Arkhanhelivka,48.936226,36.9325317,City/Town,
Arkhanhelska Sloboda,46.6368215,33.7009596,City/Town,
Arkhanhelske,47.4651609,32.1261925,City/Town,
Arkhemivka,50.2219862,32.2324497,City/Town,
Arkhypivka,52.2353708,32.8178345,City/Town,
Arkushyne,49.9527413,37.1438045,City/Town,
Arlamivska Volia,49.8466856,23.2254247,City/Town,
Armashivka,47.2436241,30.2026132,City/Town,
Armiansk,46.1074771,33.6947155,City/Town,
Armiiske,45.7664635,34.4794797,City/Town,
Aromat,44.5805815,33.937719,City/Town,
Aromatne,44.7996332,33.8667845,City/Town,
Arsenivka,49.9854194,34.284702,City/Town,
Arsenovychi,51.1213556,25.3455137,City/Town,
Arshuky,52.1356097,33.1075339,City/Town,
Arshychyn,50.4884459,25.6696236,City/Town,
Arshytsia,47.9912316,25.7422847,City/Town,
Artasiv,50.0110768,24.1292545,City/Town,
Artek Heliport,44.56059,34.307563,heliport,
Arteliarshchyna,50.0612835,34.3380181,City/Town,
Artema,48.7873321,39.3068362,City/Town,
Artemenkiv,50.6956401,32.8703175,City/Town,
Artemivka,48.2182885,36.1838224,City/Town,
Artemivsk,,,City/Town,7203
Artemo-Rastivka,50.4903242,34.7025912,City/Town,
Artilne,49.0561634,36.1521911,City/Town,
Artiukhivka,49.7117881,36.2684347,City/Town,
Artiukhove,51.5891869,33.3794982,City/Town,
Artsyz,45.9962017,29.431517,City/Town,14486
Artsyz Air Base,45.945829,29.376832,small_airport,
Artynsk,51.253277,27.7492524,City/Town,
Artyrivka,47.474948,29.3642918,City/Town,
Artyshchiv,49.769981,23.6759836,City/Town,
Arystivka,48.7809528,28.3100054,City/Town,
Ashanivka,49.8157732,32.0667827,City/Town,
Ashurkove,48.6566444,37.6355862,City/Town,
Asiivka,49.3665492,36.6743616,City/Town,
Askaniia-Nova,46.4460432,33.8652104,City/Town,
Aslanove,47.2429794,37.5808475,City/Town,
Astakhove,47.8584362,39.6134243,City/Town,
Astei,48.1690341,22.5931077,City/Town,
Astrakhanka,46.9495209,35.6507537,City/Town,
Ataky,48.5417286,26.4818982,City/Town,
Ataman,46.0169704,34.5019746,City/Town,
Atamanske,51.007796,33.8044257,City/Town,
Atiusha,51.4213529,32.9928762,City/Town,
Atkylnia,52.0003239,31.1996797,City/Town,
Atmanai,46.3770025,35.1841061,City/Town,
Atynske,51.2207715,34.2650585,City/Town,
Audytorivka,48.8793554,32.9667724,City/Town,
Auly,48.5488905,34.4573816,City/Town,
Avanhard,48.0089026,33.3144973,City/Town,
Avdiivka,51.7777676,32.8017724,City/Town,
Avdotivka,47.9662186,33.6953126,City/Town,
Avhustivka,49.5904541,25.10187,City/Town,
Avhustynivka,48.0298274,35.0332557,City/Town,
Aviatorske,48.3618945,35.0955529,City/Town,
Avilovka,48.1993352,38.1773006,City/Town,
Avksenivka,48.5664832,34.2405401,City/Town,
Avramenkove,50.9133527,33.3884551,City/Town,
Avramivka,48.1883393,35.8483398,City/Town,
Avramkivshchyna,50.2513419,34.5536905,City/Town,
Avratyn,49.8777779,27.823466,City/Town,
Avrora,45.7534242,33.2700639,City/Town,
Avtunychi,52.0246571,31.6479323,City/Town,
Avydivka,46.0382002,30.2079497,City/Town,
Azov,45.3231069,34.3377697,City/Town,
Azovske,46.265362,34.8634516,City/Town,
Baba,50.8909714,33.9069221,City/Town,
Babai,49.8984402,36.1890362,City/Town,
Babaikivka,49.0168403,34.5346944,City/Town,
Babaikove,49.3541933,34.9831602,City/Town,
Babakh-Tarama,46.8937058,37.084213,City/Town,
Babakivka,51.1774625,34.1276781,City/Town,
