title,link,description
Live Updates: Russia’s Attacks Imperil Evacuation Efforts in Ukraine,https://www.nytimes.com/live/2022/03/06/world/ukraine-russia,"At least three people trying to get to safety were killed in shelling outside Kyiv, and an evacuation from the besieged port city of Mariupol was called off for the second straight day. Police in Russia take 3,000 people into custody as protests against the invasion expand across the nation."
Ukrainians Find That Relatives in Russia Don’t Believe It’s a War,https://www.nytimes.com/2022/03/06/world/europe/ukraine-russia-families.html,Many Ukrainians are encountering a confounding and frustrating backlash from family members in Russia who have bought into the official Kremlin messaging.
‘Falling Into Emptiness’: Ukrainian Families Feel the Pain of Separation,https://www.nytimes.com/2022/03/06/world/europe/ukraine-poland-families-separation.html,"With most Ukrainian men legally prohibited from leaving Ukraine, the international border gates serve as a painful filter, splitting families as women and children move on."
"On Ukraine’s Border, Moldovans Wonder: Where Will Putin Stop?",https://www.nytimes.com/2022/03/06/world/europe/ukraine-russia-moldova-transnistria.html,"Moldovans fear that Transnistria, a region run by Russia-backed separatists in eastern Moldova, might be the next target after Ukraine."
"In Burundi, the Drum Is a Revered Symbol of Unity. But Only Men Can Play.",https://www.nytimes.com/2022/03/06/world/africa/burundi-drumming.html,"Burundian drumming is a global phenomenon, featured in blockbuster movies and best-selling albums. But at home, authorities have restricted it to official functions — and banned women from performing."
How the West Marshaled a Stunning Show of Unity Against Russia,https://www.nytimes.com/2022/03/05/world/europe/russia-ukraine-invasion-sanctions.html,"In a few frantic days, the West threw out the playbook it used for decades against the Kremlin and isolated Russia with unparalleled sanctions and penalties."
A Welcome Steeped in History: Ukrainian Refugees Arrive in Germany,https://www.nytimes.com/2022/03/05/world/europe/ukraine-refugees-germany.html,"Berlin has become a major hub for refugees from Ukraine, welcoming them with an outpouring of help. The response stirs memories of both bright and dark chapters of German history."
China Outlines Plan to Stabilize Economy in Crucial Year for Xi,https://www.nytimes.com/2022/03/04/world/asia/china-economy-congress.html,"China calls for heavy government spending and lending, as its leaders seek to project confidence in the face of global uncertainty over the pandemic and war in Ukraine."
Build a New City or New Humans? A Utopia in India Fights Over Future.,https://www.nytimes.com/2022/03/05/world/asia/auroville-india.html,"Backed by Prime Minister Narendra Modi, the new leadership of Auroville, an experimental commune, wants to create a model city. In the way stand trees, tree houses and a take-it-slow tradition."
"In Ukraine’s West, Lviv Makes Itself a Vital Rear Base",https://www.nytimes.com/2022/03/05/world/europe/lviv-ukraine-war-russia.html,"Spared direct attacks so far, the city has become a transit point for thousands of fleeing refugees and for men and supplies headed to the front lines."
What Cities Is Russia Targeting in Ukraine?,https://www.nytimes.com/article/ukraine-cities.html,About two-thirds of Ukraine’s population of 44 million people lived in cities before Russia’s invasion began. Now many urban areas are in the cross hairs of war.
"In a surrounded Ukrainian city, residents vow to fight to the end.",https://www.nytimes.com/live/2022/03/04/world/russia-ukraine/in-a-surrounded-ukrainian-city-residents-vow-to-fight-to-the-end,"Wearing flak jackets and toting Kalashnikovs, many people in Mykolaiv say they are bracing to fight the advancing Russians."
Ukraine War Forces a Question: How Far East Does Europe Go?,https://www.nytimes.com/2022/03/04/world/europe/ukraine-eu-moldova-georgia.html,"After Russia invaded, Ukraine asked to join the European Union, quickly. Moldova and Georgia have asked, too. Member states would rather not answer."
An Italian Princess From Texas Awaits Her Next Act,https://www.nytimes.com/2022/03/04/world/europe/italy-princess-rita-boncompagni-ludovisi-jenrette.html,"Princess Rita Boncompagni Ludovisi, formerly Rita Jenrette, is locked in a battle over the estate of her late husband, a Roman prince."
"Pressed on Putin, Russian Conductor Quits Bolshoi and French Post",https://www.nytimes.com/2022/03/06/arts/music/tugan-sokhiev-russia-ukraine-putin.html,"Tugan Sokhiev, the Bolshoi’s music director, said he was “being asked to choose one cultural tradition” over another, at a moment Russian artists are under pressure to denounce Russia’s president."
"Rubio, U.S. Lawmakers Are Largely Opposed to No-Fly Zone Over Ukraine",https://www.nytimes.com/2022/03/06/us/politics/no-fly-zone-ukraine-congress.html,"Members of both parties said such a move would risk drawing the United States into a conflict with Russia, another nuclear power."
"Police Arrest More Than 3,000 People As Protests Grow Across Russia",https://www.nytimes.com/2022/03/06/world/europe/police-russia-protests.html,An activist group that tracks protests found demonstrations in nearly 50 cities on Sunday.
"South Korea reports high turnout in early voting, but apologizes to coronavirus patients for a lack of preparation.",https://www.nytimes.com/2022/03/06/world/asia/south-korea-early-voting-covid.html,"South Korea is experiencing a sharp spike in coronavirus cases, its worst wave of the pandemic, but is allowing infected voters to cast a ballot in the country’s contentious presidential election."
What We Know About Brittney Griner’s Detention in Russia,https://www.nytimes.com/article/brittney-griner-russia.html,The W.N.B.A. star was stopped at an airport outside Moscow and accused of carrying hashish oil in her luggage. But much about the case remains unclear.
In photos: Evacuation comes under fire near Kyiv.,https://www.nytimes.com/2022/03/06/world/europe/in-photos-evacuation-comes-under-fire-near-kyiv.html,
U.S. Is Exploring How to Send Soviet-Era Fighter Jets to Ukraine,https://www.nytimes.com/2022/03/06/world/europe/us-fighter-jets-ukraine.html,The discussions follow President Volodymyr Zelensky’s impassioned plea to American legislators for assistance in obtaining more lethal military aid.
At Least 3 Civilians Killed in Shelling by Russian Forces Near Kyiv,https://www.nytimes.com/2022/03/06/world/europe/ukraine-irpin-civilian-death.html,"The attack in Irpin, west of the capital, suggested either direct targeting of evacuees or disregard for the risk of civilian casualties."
Policing Is Under Scrutiny as Murders Rise in the U.S.,https://www.nytimes.com/2022/03/06/briefing/crime-solutions-ukraine-war-books.html,"Murders have spiked in the U.S., and experts say a mix of solutions works best."
"What Is a No-Fly Zone, and Why Is It So Contentious?",https://www.nytimes.com/2022/03/05/world/europe/what-is-no-fly-zone-nato.html,"Enforcing a ban on aircraft could draw more countries into conflict against Russia and set off “a full-fledged war in Europe,” NATO’s leader has warned."
Here is the latest news about Russia’s invasion of Ukraine.,https://www.nytimes.com/2022/03/05/world/europe/catch-up-on-the-latest-news-about-russias-invasion-of-ukraine.html,
"Mexico Soccer Riot Leaves 22 Injured, Querétaro Officials Say",https://www.nytimes.com/2022/03/05/world/americas/mexico-soccer-riot.html,Videos posted on social media showed violent clashes between fans in a stadium in the central city of Querétaro on Saturday.
Russian Prisoners and Ukrainian Soldiers Describe Two Sides of the Conflict,https://www.nytimes.com/2022/03/05/world/europe/ukraine-russia-soldiers-war.html,"The accounts painted a picture of a conflict consisting largely of ambushes, at least in northern Ukraine where the Russian forces are striving to encircle and capture the capital, Kyiv."
Mastercard and Visa Suspend Operations in Russia,https://www.nytimes.com/2022/03/05/world/europe/mastercard-visa-suspend-operations-russia.html,"Russian-issued cards will no longer work in other countries, and purchases from Russian vendors by cardholders in other countries will be cut off."
"US Officials Travel to Venezuela, a Russia Ally, as the West Isolates Putin",https://www.nytimes.com/2022/03/05/world/americas/venezuela-russia-usa.html,"The trip is the highest-level visit by American officials to Caracas in years, driven by a desire to separate Russia from its remaining Latin American allies."
"Fast-Food Chains Stay Open in Russia, Mostly Quiet About Ukraine",https://www.nytimes.com/2022/03/05/world/europe/russia-food-ukraine.html,Many fast-food chains are facing growing pressure on social media platforms and from large investors to halt operations in Russia.
Does Part of Putin's Wartime Mindset Reflect Pandemic Isolation?,https://www.nytimes.com/2022/03/05/world/putin-pandemic-mindset.html,"Analysts are debating whether the Russian leader’s ambitions and appetite for risk have been altered by his long-held Covid bubble, or by his urgency to secure a legacy, or both."
Israel PM Naftali Bennett Visits Moscow for Putin Talks on Ukraine,https://www.nytimes.com/2022/03/05/world/europe/israel-russia-ukraine.html,"Prime Minister Naftali Bennett of Israel met for three hours with President Vladimir V. Putin of Russia, the Israeli leader’s office said."
Putin Likens Sanctions to a ‘Declaration of War’,https://www.nytimes.com/2022/03/05/world/europe/ukraine-russia-putin.html,"Despite a cease-fire, Russia shelled near humanitarian corridors meant for civilians to escape an embattled city, Ukraine says, while the Russian leader also warned about a no-fly zone."
"Pakistan Identifies Peshawar Suicide Bomber and Network, Police Say",https://www.nytimes.com/2022/03/05/world/middleeast/pakistan-peshawar-suicide-bomber.html,"The attack at a Shiite mosque, claimed by an ISIS affiliate, killed at least 63 people and left nearly 200 wounded."
Ukrainian Protesters Take to the Streets in Occupied Kherson,https://www.nytimes.com/2022/03/05/world/europe/kherson-protests-ukraine.html,Kherson was the first major city to fall to Russian forces and the protests are presenting a challenge to the new authority.
Allies Focus on Security of Zelensky and Other Ukraine Leaders,https://www.nytimes.com/2022/03/05/us/politics/russia-ukraine-succession-zelensky.html,Concerns about the line of succession were prompted in part because President Volodymyr Zelensky insists he will not be evacuated.
"Aeroflot, Russia's State Airline, Says it Will Suspend International Flights",https://www.nytimes.com/2022/03/05/world/europe/aeroflot-russia-international-flights-suspended.html,Russia’s airline industry has been hit hard as countries around the world have imposed sanctions on the country for its invasion of Ukraine.
Here are the latest developments in the Russian invasion of Ukraine.,https://www.nytimes.com/2022/03/05/world/europe/catch-up-on-the-latest-news-in-ukraine.html,
True Stories,https://www.nytimes.com/2022/03/05/briefing/tv-shows-fashion-week-oscar-ballots.html,Why are so many drama series based on real-life events?
"While Canada Welcomes Refugees, Its Door Is Far From Wide Open",https://www.nytimes.com/2022/03/05/world/canada/canada-refugees-ukraine.html,"The war in Ukraine may bring another wave of asylum seekers to Canada, but they will face many controls and restrictions."
TikTok Ukraine War Videos Raise Questions About Spread of Misinformation,https://www.nytimes.com/2022/03/05/technology/tiktok-ukraine-misinformation.html,The Chinese-owned video app is dealing with a flood of war videos and the question of whether it is spreading unverified information.
The Best Time to Use Your Airline Points and Miles,https://www.nytimes.com/2022/03/05/travel/airline-miles-credit-card.html,"If you’re thinking of traveling and you’ve got points or miles sitting in airline and credit card accounts, the time to cash in may have arrived. Here’s what you need to know."
"Too Close to Putin? Institutions Vet Artists, Uncomfortably.",https://www.nytimes.com/2022/03/05/arts/music/russian-artists-putin.html,"Russia’s invasion of Ukraine has led arts organizations to reconsider who performs, forcing them to confront questions about free speech and policing political views."
Gov. Murphy Ends Virus Briefings in New Jersey and Tries to Turn Page,https://www.nytimes.com/2022/03/05/world/nj-governor-murphy-covid-briefing.html,"Friday’s briefing was two years to the day since the state’s first confirmed coronavirus case, the governor said, and served as a fitting end to his pandemic updates."
"Finland, Non-NATO and Nervous, Discusses Defense With Biden",https://www.nytimes.com/2022/03/04/us/politics/biden-sauli-niinisto-finland.html,"“We usually don’t start wars,” President Sauli Niinisto of Finland said as the leaders spoke amid the war in Ukraine."
"North Korea Launches Ballistic Missile, South Korea Says",https://www.nytimes.com/2022/03/04/world/asia/north-korea-missile-launch.html,The launch is North Korea’s second missile test in a week and comes only days before the presidential election in South Korea.
Zelensky Criticizes NATO Over Its Rejection of a No-fly Zone Over Ukraine,https://www.nytimes.com/2022/03/04/world/europe/zelensky-nato-no-fly-zone-ukraine.html,"“All the people who will die from this day will die because of you, as well,” the Ukrainian president told NATO leaders in a video shared on social media."
Russia Seizes Nuclear Plant in Ukraine and Makes Gain in the South,https://www.nytimes.com/2022/03/04/world/europe/russia-military-advance-ukraine-war.html,"The Russian military advance in Ukraine sowed more destruction and chaos, pointing to a worsening conflict, as the Kremlin also moved to restrict how it’s reported at home."
A.C.L.U. Lawsuit Accuses ICE Jailers of Denying Detainees Vaccines,https://www.nytimes.com/2022/03/04/world/aclu-ice-covid-vaccine-booster.html,"One of the plaintiffs is Anna Sorokin, a Russian immigrant who for several years presented herself as a German heiress named Anna Delvey. She received a booster shot on Thursday, two days after the suit was filed."
"In Kyiv’s Railway Station, Rumors, Near-Stampedes and Frustration",https://www.nytimes.com/2022/03/04/world/europe/ukraine-kyiv-train-station.html,"As Russian forces begin to encircle the Ukrainian capital, tens of thousands are clambering for a way out that may soon be closed off."
FDA Rejects India-Made Bharat Biotech Vaccine For Those Under 18,https://www.nytimes.com/2022/03/04/world/fda-bharat-biotech-vaccine.html,"The vaccine, made by Bharat Biotech, is widely used in India. It has not been tested in the U.S., which has not authorized it for any age groups."
"As Russia Pounds Ukraine, NATO Countries Rush In Javelins and Stingers",https://www.nytimes.com/2022/03/04/us/politics/russia-ukraine-weapons.html,The American weapons are part of a $350 million package that President Biden authorized on Saturday.
Anti-Covid-Vaccine Doctor Pleads Guilty to Capitol Riot Charges,https://www.nytimes.com/2022/03/04/world/simone-gold-capitol-riot.html,"The founder of America’s Frontline Doctors, a group that spreads pandemic misinformation, stood by as a Capitol Police officer was assaulted, then entered the Capitol and made a speech against Covid vaccines, according to a Justice Department filing."
NATO Accuses Russia of Using Cluster Bombs in Ukraine,https://www.nytimes.com/2022/03/04/world/europe/nato-ukraine-russia-cluster-bombs.html,"Officials made the accusation Friday as part of a display of a unified front in support of Ukraine, but rejected a plea from Kyiv to impose a no-fly zone over its airspace."
"Russia Blocks Facebook, as Kremlin Moves to Stifle Dissent",https://www.nytimes.com/2022/03/04/world/europe/russia-facebook-ukraine.html,
The War in Ukraine Holds a Warning for the World Order,https://www.nytimes.com/2022/03/04/world/ukraine-russia-war-authoritarianism.html,The multinational response shows that liberalism has some life left. But the challenges posed by waning U.S. power and rising authoritarianism remain formidable.
"With Sanctions, U.S. and Europe Aim to Punish Putin and Fuel Russian Unrest",https://www.nytimes.com/2022/03/04/us/politics/russia-sanctions-ukraine.html,The Biden administration and European officials are crushing the Russian economy and stirring mass anxiety to pressure President Vladimir V. Putin to end his war in Ukraine.
