titles,descriptions,links,pubDates
A Ukrainian father's terrifying journey to a Russian prison and back ,Nikita Horban was abducted from his village and taken to Russia. He would come back without any toes. ,https://www.bbc.co.uk/news/world-europe-61249158?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 05:00:06 GMT "
Ukraine war: Russian strike on Kyiv kills reporter Vira Hyrych ,"Vira Hyrych, who worked for Radio Liberty, died after her residential building was hit on Thursday. ",https://www.bbc.co.uk/news/world-europe-61274997?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 15:10:18 GMT "
British Virgin Islands: UK should take back rule - report ,"The British overseas territory's government should be dissolved for two years, a report recommends. ",https://www.bbc.co.uk/news/uk-61276109?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 18:09:01 GMT "
Foul-smelling foam clogs up Colombian town of Mosquera ,Detergents dumped in a local river are being linked to the filthy white phenomenon. ,https://www.bbc.co.uk/news/world-latin-america-61270024?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 10:50:49 GMT "
Alexanda Kotey: IS 'Beatle' sentenced to life in US for murders in Syria ,"Alexanda Kotey, 38, pleaded guilty last September to the beheading of IS hostages in Syria. ",https://www.bbc.co.uk/news/world-us-canada-61274332?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 17:41:52 GMT "
South Africa's Jacob Zuma would do anything for the Guptas - Zondo report ,"South Africa's ex-president Jacob Zuma would ""do anything"" for the Gupta business family, a report finds. ",https://www.bbc.co.uk/news/world-africa-61269603?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 16:41:32 GMT "
Liberia war crimes: Sierra Leone rebel commander acquitted by court in Finland ,Gibril Massaquoi was a school teacher but then became the spokesman of a notorious rebel group. ,https://www.bbc.co.uk/news/world-africa-61277623?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 16:04:24 GMT "
Heat wave in India leaves millions struggling to cope ,"Experts say India is now recording more intense, frequent heatwaves that are also longer in duration. ",https://www.bbc.co.uk/news/world-asia-india-61242341?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 03:09:55 GMT "
Israel airport chaos as family brings unexploded shell ,Chaos erupts as Americans bring a 'souvenir' unexploded shell into Israel's international airport. ,https://www.bbc.co.uk/news/world-middle-east-61267265?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 08:33:22 GMT "
Shanghai lockdown: Residents protest after five weeks of strict zero-Covid measures ,"Some residents have been under strict lockdown for five weeks, and struggled to access food supplies. ",https://www.bbc.co.uk/news/world-asia-china-61270616?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 10:22:33 GMT "
James Corden leaving Late Late Show after eight years ,The British comedian and actor turned talk show host announced the decision on Thursday. ,https://www.bbc.co.uk/news/entertainment-arts-61267036?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 10:44:50 GMT "
Depp v Heard: What you might have missed this week ,"The court hears evidence of personality disorders, drug abuse and a relationship with Elon Musk. ",https://www.bbc.co.uk/news/world-us-canada-61263794?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 15:08:52 GMT "
Why British royals face simmering resentment in Caribbean ,More awareness of the region's history and calls for slavery reparations have changed sentiment. ,https://www.bbc.co.uk/news/world-latin-america-61256001?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 00:23:17 GMT "
Ukraine launches hunt for Russian soldiers accused of Bucha war crimes ,"The 10 Russian soldiers are wanted for alleged war crimes - but at home, they have been hailed as heroes. ",https://www.bbc.co.uk/news/world-europe-61269480?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 12:23:51 GMT "
How big are Donald Trump's legal problems? ,"As he plots his political future, two criminal probes and multiple lawsuits could spell trouble. ",https://www.bbc.co.uk/news/world-us-canada-61084161?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 17:36:57 GMT "
Barkha Dutt: 'My father did not have to die' ,"A year after losing her father to Covid, Indian journalist Barkha Dutt writes on coping with loss and regret. ",https://www.bbc.co.uk/news/world-asia-india-61244109?at_medium=RSS&at_campaign=KARANGA ,"Fri, 29 Apr 2022 00:29:55 GMT "
The children surviving Ukraine's war without their parents ,Eleven-year-old Angelina is one of many children who were forced to flee hundreds of miles from their homes on Ukraine's front line. ,https://www.bbc.co.uk/news/world-europe-61263855?at_medium=RSS&at_campaign=KARANGA ,"Thu, 28 Apr 2022 23:03:00 GMT "
Sirens ring out in Israel to honour Holocaust victims ,Streets came to a standstill as people paused to pay tribute to the millions killed in the Holocaust. ,https://www.bbc.co.uk/news/world-middle-east-61255423?at_medium=RSS&at_campaign=KARANGA ,"Thu, 28 Apr 2022 10:14:24 GMT "
"War in Ukraine absurd and evil, says UN chief ",Antonio Guterres addresses reporters outside a wreckage of apartment blocks north west of Kyiv. ,https://www.bbc.co.uk/news/world-europe-61254476?at_medium=RSS&at_campaign=KARANGA ,"Thu, 28 Apr 2022 08:57:01 GMT "
