titles,descriptions,links,pubDates
 Chechen leader says Azovstal plant in Mariupol will fall to Russia — live updates, Chechen leader Ramzan Kadyrov said that Russian troops will soon take over the Azovstal steel plant as Moscow continues its assault on Mariupol. Follow DW for the latest., https://www.dw.com/en/chechen-leader-says-azovstal-plant-in-mariupol-will-fall-to-russia-live-updates/a-61529869?maca=en-rss-en-all-1573-rdf, 2022-04-21T01:46:00Z
 Russian ICBM test 'not deemed to be a threat' — Pentagon," Russian President Vladimir Putin said that the addition to Moscow's nuclear arsenal will make foes ""think twice."" The US said it was properly notified of the test and did not consider it a threat.", https://www.dw.com/en/russian-icbm-test-not-deemed-to-be-a-threat-pentagon/a-61529853?maca=en-rss-en-all-1573-rdf, 2022-04-21T00:10:00Z
 Forsberg sends Tedesco's RB Leipzig to German Cup final, RB Leipzig will play Freiburg in the German Cup final thanks to an injury time header from Emil Forsberg. The Red Bulls have turned their season around under Domenico Tedesco and could win a first major trophy., https://www.dw.com/en/forsberg-sends-tedesco-s-rb-leipzig-to-german-cup-final/a-61529495?maca=en-rss-en-all-1573-rdf, 2022-04-20T21:40:00Z
" ATP and WTA criticize Wimbledon ban of Russian, Belarusian players"," The Association of Tennis Players and Women's Tennis Associatan have slammed Wimbledon's ""unilateral"" ban of Russian and Belarusian players. The tournament is set to run from June 27 to July 10.", https://www.dw.com/en/atp-and-wta-criticize-wimbledon-ban-of-russian-belarusian-players/a-61529606?maca=en-rss-en-all-1573-rdf, 2022-04-20T21:20:00Z
 Macron and Le Pen clash in TV debate ahead of election, The incumbent French president and his far-right opponent clashed over the cost of living and the war in Ukraine as they tried to convince voters to support them in Sunday's presidential election., https://www.dw.com/en/macron-and-le-pen-clash-in-tv-debate-ahead-of-election/a-61528896?maca=en-rss-en-all-1573-rdf, 2022-04-20T20:04:00Z
 Cracking down on peace: How Russian anti-war protesters face persecution, Russian authorities are attempting to intimidate opponents of the war in Ukraine. Courageous activists in Kazan report what they have been doing and what consequences they face. A report from Tatarstan., https://www.dw.com/en/cracking-down-on-peace-how-russian-anti-war-protesters-face-persecution/a-61528111?maca=en-rss-en-all-1573-rdf, 2022-04-20T20:00:00Z
 G20 finance officials walk out in protest of Russian attendance," As G20 finance leaders meet in Washington, Russia's presence has drawn controversy. Officials from several countries walked out as a Russian official spoke.", https://www.dw.com/en/g20-finance-officials-walk-out-in-protest-of-russian-attendance/a-61528657?maca=en-rss-en-all-1573-rdf, 2022-04-20T19:28:00Z
 Notre Dame mystery sarcophagus: World waits for big reveal, A human-shaped lead sarcophagus found beneath the floor at the fire-ravaged Notre Dame Cathedral in Paris has generated much speculation about its contents., https://www.dw.com/en/notre-dame-mystery-sarcophagus-world-waits-for-big-reveal/a-61522390?maca=en-rss-en-all-1573-rdf, 2022-04-20T19:02:00Z
 Sweden: Far-right anti-Islam politician taps into backlash against immigration, A recent outbreak of violence in Sweden has drawn attention to a little-known politician who stages offensive provocations against Muslims. Experts say his rise comes amid a hardening of attitudes towards immigrants., https://www.dw.com/en/sweden-far-right-anti-islam-politician-taps-into-backlash-against-immigration/a-61523994?maca=en-rss-en-all-1573-rdf, 2022-04-20T18:14:00Z
 Ukraine says planned Mariupol evacuations fell short — as it happened," An agreed humanitarian corridor to allow civilians escape the besieged city ""did not work as planned,"" according to Kyiv, as a deadline to surrender put forward by Russia lapsed. Follow DW for the latest.", https://www.dw.com/en/ukraine-says-planned-mariupol-evacuations-fell-short-as-it-happened/a-61518521?maca=en-rss-en-all-1573-rdf, 2022-04-20T18:02:00Z
