titles,descriptions,links,pubDates
Bloody river battle was third in three days - Ukraine official ,Ukraine claims to have attacked Russian troops as they attempted to cross the Siversky Donets river. ,https://www.bbc.co.uk/news/world-europe-61399440?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 16:15:28 GMT "
Ukraine begins first war crimes trial of Russian soldier ,"In the first such trial of the war, the defendant, 21, is accused of killing an unarmed civilian. ",https://www.bbc.co.uk/news/world-europe-61441907?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 14:33:56 GMT "
Shireen Abu Aqla: Violence at Al Jazeera reporter's funeral in Jerusalem ,"Police with riot gear hit mourners, saying they were pelted with stones, as crowds carry her coffin. ",https://www.bbc.co.uk/news/world-middle-east-61437601?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 16:49:22 GMT "
"Sri Lanka economy crisis to get worse before it gets better, PM says ",Sri Lanka's new PM tells the BBC the country's dire economic crisis will get worse before it gets better. ,https://www.bbc.co.uk/news/world-asia-61434304?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 14:49:58 GMT "
Kenyan fighting FGM crowned world's best nurse ,"Anna Qabale Duba says the $250,000 prize money will help expand her school for children and adults. ",https://www.bbc.co.uk/news/world-africa-61435153?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 15:57:10 GMT "
North Korea announces first death from Covid-19 ,"A day after confirming its first cases, state media reports thousands are suffering fever symptoms. ",https://www.bbc.co.uk/news/world-asia-61432084?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 05:33:53 GMT "
Elon Musk puts Twitter deal on hold over fake account details ,"The billionaire wants more data on fake accounts, prompting speculation over the deal's future. ",https://www.bbc.co.uk/news/business-61433724?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 15:16:05 GMT "
Eleven migrants drown trying to reach US territory ,"Almost 40 people, mostly from Haiti, were rescued after their boat capsized near Puerto Rico. ",https://www.bbc.co.uk/news/world-us-canada-61417926?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 14:12:04 GMT "
Brittney Griner: US basketball star has Russian detention extended ,"Russian media says Moscow wishes to ""swap"" Griner for the arms trafficker Viktor Bout. ",https://www.bbc.co.uk/news/world-us-canada-61417928?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 15:14:51 GMT "
Ukraine war: UK adds Putin's former wife to sanctions list ,Both Vladimir Putin's former wife and his alleged current girlfriend are sanctioned over the war in Ukraine. ,https://www.bbc.co.uk/news/uk-61439524?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 13:12:25 GMT "
Rwandan genocide fugitive Protais Mpiranya confirmed dead ,Protais Mpiranya led the presidential guard that killed the then-PM and 10 Belgian peacekeepers. ,https://www.bbc.co.uk/news/world-africa-61429761?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 20:02:18 GMT "
Ukraine conflict: Russian soldiers seen killing unarmed civilians ,"The incident, captured on video seen by the BBC, is being investigated as a suspected war crime. ",https://www.bbc.co.uk/news/world-europe-61425025?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 13:11:57 GMT "
Sri Lanka crisis: How war heroes became villains ,"The Rajapaksa brothers, hailed by many as heroes for winning the civil war, are now reviled as leaders. ",https://www.bbc.co.uk/news/world-asia-61411532?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 23:20:06 GMT "
Afghanistan pupils in fear after spate of Islamic State attacks ,A spate of Islamic State attacks have left Afghan students in fear and test Taliban security claims. ,https://www.bbc.co.uk/news/world-asia-61404083?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 23:13:59 GMT "
Eurovision 2022: The anthem for Ukraine born in a war zone ,The BBC joined Ukraine's Kalush Orchestra as they prepared for the contest amid the rubble of the city of Irpin. ,https://www.bbc.co.uk/news/world-europe-61424173?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 23:05:46 GMT "
LPG price: Millions hit hard as cooking gas cost soars in India ,Many households in rural areas are forced to rely on wood for cooking as gas has become unaffordable. ,https://www.bbc.co.uk/news/world-asia-india-61410449?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 23:30:14 GMT "
Ukraine crisis: Could India cut its defence ties with Russia? ,"India has been under pressure to distance itself from Russia over Ukraine, including reducing defence ties. ",https://www.bbc.co.uk/news/world-asia-india-61274042?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 23:33:43 GMT "
The long struggle to return Cambodia's looted treasures ,The east Asian country claims the V&A and British Museum both hold stolen antiquities. ,https://www.bbc.co.uk/news/world-asia-61354625?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 04:53:05 GMT "
Clashes at Al Jazeera journalist's funeral procession ,"Violent scenes between police, and mourners of killed reporter Shireen Abu Aqla. ",https://www.bbc.co.uk/news/world-middle-east-61445446?at_medium=RSS&at_campaign=KARANGA ,"Fri, 13 May 2022 18:03:46 GMT "
The Ukrainian refugee schoolgirl learning fast in the UK ,"Ukrainian refugee Marharyta, nine, is learning English as she waits to start school in Manchester. ",https://www.bbc.co.uk/news/education-61396730?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 23:07:30 GMT "
Ukraine: The BBC has seen evidence of possible war crimes committed by Russian soldiers ,The BBC has obtained CCTV footage of the killing of two civilians in cold blood by Russian soldiers that is now being investigated by prosecutors as a suspected war crime. ,https://www.bbc.co.uk/news/world-europe-61426127?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 13:11:39 GMT "
We're ready to consider Nato membership - Finland's foreign minister ,Foreign Minister Pekka Haavisto tells the BBC that that he wants Finland to join Nato as soon as possible. ,https://www.bbc.co.uk/news/world-europe-61419422?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 12:42:24 GMT "
Air traffic controller on helping passenger land plane after pilot fell ill ,Robert Morgan talked passenger Darren Harrison through landing a plane after the pilot fell ill. ,https://www.bbc.co.uk/news/world-us-canada-61424113?at_medium=RSS&at_campaign=KARANGA ,"Thu, 12 May 2022 10:59:18 GMT "
Joly Germine: Haitian gang leader indicted over missionary abductions ,Joly Germine allegedly directed the kidnappings of 17 Christian missionaries from a Haitian prison. ,https://www.bbc.co.uk/news/world-us-canada-61412343?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 15:35:39 GMT "
