titles,descriptions,links,pubDates
Mariupol steelworks: 'We have wounded and dead inside the bunkers' ,One of the last defenders in Mariupol tells the BBC conditions are dire but they won't surrender. ,https://www.bbc.co.uk/news/world-europe-61183062?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 22:29:02 GMT "
Mariupol: Satellite images suggest mass graves dug near besieged city ,"The satellite images appear to show more than 200 graves, as Ukraine accuses Russian troops of mass killings. ",https://www.bbc.co.uk/news/world-europe-61183056?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 18:43:22 GMT "
Ukraine round-up: Putin backs off storming of Azovstal as Mariupol 'mass graves' found ,"Russia's president says the Azovstal steel plant must be sealed off, and satellite images suggest mass graves. ",https://www.bbc.co.uk/news/world-europe-61179734?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 21:43:13 GMT "
The German towns in Paraguay with a surge in European immigrants ,Thousands of German nationals have migrated to Paraguay to escape Covid restrictions and immigration in Europe. ,https://www.bbc.co.uk/news/world-latin-america-61184479?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 23:25:20 GMT "
Juan Orlando Hernández: Honduran ex-leader extradited to US ,Former President Juan Orlando Hernández is accused of involvement in a cocaine trafficking ring. ,https://www.bbc.co.uk/news/world-latin-america-61174692?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 23:49:02 GMT "
Have we seen peak Netflix? ,The streaming giant is losing subscribers despite huge hits like Squid Game and Bridgerton. ,https://www.bbc.co.uk/news/business-61178311?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 23:33:58 GMT "
Afghanistan: 'Blood and fear everywhere' after deadly IS blast ,"Dozens of people are dead or hurt in four blasts in Afghanistan, two claimed by the Islamic State. ",https://www.bbc.co.uk/news/world-asia-61174991?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 16:07:10 GMT "
Ukrainians injured or killed by unexploded ammunition ,"Across Ukraine's Kyiv region, efforts have begun to clear the countless pieces of unexploded ammunition left behind after fierce fighting. ",https://www.bbc.co.uk/news/world-europe-61181978?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 23:28:00 GMT "
Haiti: Small plane crashes on to main road killing six ,"The pilot is among those who died when the aircraft came down in Haiti, injuring people on the ground. ",https://www.bbc.co.uk/news/world-latin-america-61176973?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 11:09:35 GMT "
Sophie Wilmes: Belgian foreign minister resigns to care for sick husband ,Sophie Wilmes will temporarily resign to care for her husband who has been diagnosed with brain cancer. ,https://www.bbc.co.uk/news/world-europe-61174351?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 10:15:52 GMT "
Florida lawmakers have stripped Disney of special tax status ,Governor Ron DeSantis has taken aim at Disney over its opposition to the so-called Don't Say Gay bill. ,https://www.bbc.co.uk/news/world-us-canada-61179262?at_medium=RSS&at_campaign=KARANGA ,"Fri, 22 Apr 2022 00:05:02 GMT "
Rare tiny Brontë book could set $1.25m sale record ,The world's first tennis guide and Amy Winehouse's library are also on offer at the NY Antiquarian Book Fair. ,https://www.bbc.co.uk/news/world-us-canada-61178869?at_medium=RSS&at_campaign=KARANGA ,"Thu, 21 Apr 2022 15:21:25 GMT "
