title,link,description
"Ukraine Live Updates: E.U. Falters in Bid to Adopt Russian Oil Embargo, Showing Risks of Prolonged War",https://www.nytimes.com/live/2022/05/11/world/ukraine-russia-war-news,"E.U. ambassadors broke off talks for the day in Brussels, having failed to persuade Hungary, which has emerged as a possible spoiler to European unity. In Washington, the House endorsed a $40 billion aid package for Ukraine."
Bulgaria Takes Unusual Stand Against Russia With Sanctions,https://www.nytimes.com/2022/05/11/world/europe/bulgaria-russia-ukraine.html,"Bulgaria has imposed economic sanctions on Russia, offered to repair broken military equipment for Ukraine and expelled Russian diplomats."
Shireen Abu Akleh of Al Jazeera Is Killed in West Bank,https://www.nytimes.com/2022/05/11/world/middleeast/al-jazeera-journalist-killed-west-bank.html,The network and Palestinian authorities blamed Israeli troops for the killing. Israel said the blame could lie with Palestinian gunmen.
India’s Hindu-Muslim Tensions Reveal a Worrisome New Pattern,https://www.nytimes.com/2022/05/11/world/asia/india-hindu-muslim-violence.html,"As a national campaign by right-wing groups inflames local tensions, Muslim communities are facing the harshest punishments, according to activists, analysts and retired officials."
"Shireen Abu Akleh, Palestinian Journalist, Dies, Aged 51",https://www.nytimes.com/2022/05/11/world/middleeast/shireen-abu-akleh-al-jazeera-dead.html,"Ms. Abu Akleh, 51, a Palestinian American reporter who was killed in the West Bank on Wednesday, was a household name across the Middle East."
Hong Kong Police Arrest Former Bishop in National Security Case,https://www.nytimes.com/2022/05/11/world/asia/hong-kong-arrests-national-security.html,"Cardinal Joseph Zen, 90, was among three held for their work with a legal aid group that helped protesters and that officials accuse of colluding with foreign powers."
Israel’s Teetering Government Breathes Again as Arab Party Rejoins,https://www.nytimes.com/2022/05/11/world/middleeast/israel-parliament-raam.html,"A small Islamist party decided to end its freeze on participating in the fragile eight-way coalition, granting it at least a temporary reprieve."
Canada’s Trucker Protests Have a New Political Champion,https://www.nytimes.com/2022/05/11/world/canada/trucker-convoy-protest-conservatives.html,Prime Minister Justin Trudeau condemned the protest as illegal. Now some of his key opponents are embracing it.
Philippines Election: Marcos Win Draws Protests,https://www.nytimes.com/2022/05/10/world/asia/philippines-election-protests.html,Young voters who had rallied around Leni Robredo during the presidential race gathered to voice their frustration with preliminary results showing her overwhelming defeat.
How Maria Alyokhina of Pussy Riot Escaped From Russia,https://www.nytimes.com/2022/05/10/world/europe/pussy-riot-russia-escape.html,"After more than a decade of activism, Maria Alyokhina disguised herself as a food courier to evade the police — and a widening crackdown by President Vladimir Putin."
"Iran Says It Will Execute Ahmadreza Djalali, Swedish-Iranian Accused of Spying",https://www.nytimes.com/2022/05/10/world/middleeast/iran-execution-ahmadreza-djalali.html,Ahmadreza Djalali denies he spied for Israel or helped it kill Iranian nuclear scientists.
‘Tantura’ Documentary Reopens Debate About Israel’s Foundational Story,https://www.nytimes.com/2022/05/11/world/israeli-palestinian-mass-grave-tantura.html,"Israeli soldiers had long denied killing prisoners after capturing an Arab seaside town, days after Israel’s creation. A new film provides fresh evidence — reopening a debate about Israel’s foundational story."
India’s Top Court Suspends Colonial-Era Sedition Law,https://www.nytimes.com/2022/05/11/world/asia/india-sedition-law-suspended.html,"The law has been used to quash dissent and is not in tune with the times, the court said. Its action does not overturn the law, though, only Parliament can do that."
"Russia Was Behind Cyberattack in Run-Up to Ukraine War, Investigation Finds",https://www.nytimes.com/2022/05/10/us/politics/russia-cyberattack-ukraine-war.html,The February attack rattled Pentagon officials and private industry because it revealed new vulnerabilities in global communications systems.
"At the front in eastern Ukraine, distant artillery duels mix with tank assaults and vicious firefights.",https://www.nytimes.com/2022/05/11/world/europe/at-the-front-in-eastern-ukraine-distant-artillery-duels-mix-with-tank-assaults-and-vicious-firefights.html,
