titles,descriptions,links,pubDates
 Eurovision Song Contest 2022: Ukraine wins the public's hearts," Europe's annual song and dance extravaganza wasn't short on either entertainment or pyrotechnics, but voting remained nail-biting until the end.", https://www.dw.com/en/eurovision-song-contest-2022-ukraine-wins-the-public-s-hearts/a-61788818?maca=en-rss-en-all-1573-rdf, 2022-05-15T01:46:00Z
 At least 10 killed in shooting at Buffalo supermarket in the US," The alleged shooter was in custody, and the FBI said was investigating the attack at a supermarket in New York state as a hate crime.", https://www.dw.com/en/at-least-10-killed-in-shooting-at-buffalo-supermarket-in-the-us/a-61802260?maca=en-rss-en-all-1573-rdf, 2022-05-14T21:15:00Z
 Jürgen Klopp maintains hex on Tuchel to make history in the FA Cup with Liverpool," Jürgen Klopp has become the first German coach to win the FA Cup as his Liverpool team beat Chelsea. Klopp's victory came against another German coach, Thomas Tuchel, who remains in his compatriot's shadow.", https://www.dw.com/en/jürgen-klopp-maintains-hex-on-tuchel-to-make-history-in-the-fa-cup-with-liverpool/a-61802062?maca=en-rss-en-all-1573-rdf, 2022-05-14T20:47:00Z
 Inflation and food prices fuel social tension in Argentina," With annual inflation up 58% in April, there is pressure on Argentina's government to introduce effective countermeasures. Tens of thousands of people have protested on the streets.", https://www.dw.com/en/inflation-and-food-prices-fuel-social-tension-in-argentina/a-61801214?maca=en-rss-en-all-1573-rdf, 2022-05-14T19:34:00Z
" 'You're mad!': Pride in Freiburg outweighs Champions League disappointment, Stuttgart safe, Hertha in playoff"," RB Leipzig dealt Freiburg a pre-Cup final blow by securing the final Champions League spot. Elsewhere, Union Berlin join Freiburg in the Europa League and Stuttgart are safe, leaving Hertha Berlin facing a playoff.", https://www.dw.com/en/you-re-mad-pride-in-freiburg-outweighs-champions-league-disappointment-stuttgart-safe-hertha-in-playoff/a-61801218?maca=en-rss-en-all-1573-rdf, 2022-05-14T19:11:00Z
 US abortion rights activists stage nationwide protests, Pro-choice demonstrators are rallying across the US in opposition to the Supreme Court's draft opinion that could scrap the right to abortion. Protesters say it is only the beginning of their fight against the decision., https://www.dw.com/en/us-abortion-rights-activists-stage-nationwide-protests/a-61801493?maca=en-rss-en-all-1573-rdf, 2022-05-14T19:04:00Z
" G7 warn of global food crisis, vow indefinite supply of weapons for Ukraine"," Top G7 diplomats meeting in Germany have warned the war in Ukraine is stoking a crisis that threatens the world's poorest. They also pledged to continue their military assistance to Ukraine for ""as long as necessary.""", https://www.dw.com/en/g7-warn-of-global-food-crisis-vow-indefinite-supply-of-weapons-for-ukraine/a-61801127?maca=en-rss-en-all-1573-rdf, 2022-05-14T17:50:00Z
 Israel police to investigate conduct at slain journalist's funeral," Israel's police chief has ordered a probe into the actions of officers at the funeral of reporter Shireen Abu Akleh in Jerusalem. Germany's top diplomat, Annalena Baerbock, said she was ""deeply shocked"" by the events.", https://www.dw.com/en/israel-police-to-investigate-conduct-at-slain-journalist-s-funeral/a-61800926?maca=en-rss-en-all-1573-rdf, 2022-05-14T17:33:00Z
 Ukraine and Russia fight intense battles for Snake Island," Known as the burial place of Achilles, the barren Black Sea rock has become the site of fierce combat between Ukraine and Russia. Snake Island has strategic and symbolic importance dating to the Soviet era.", https://www.dw.com/en/ukraine-and-russia-fight-intense-battles-for-snake-island/a-61800180?maca=en-rss-en-all-1573-rdf, 2022-05-14T16:27:00Z
 Opinion: The Bundesliga is going stale," Another Bundesliga season is over and with it comes a very familiar feeling. For DW's Jonathan Harding, the 2021/22 campaign is a reminder that the Bundesliga is need of something fresh.", https://www.dw.com/en/opinion-the-bundesliga-is-going-stale/a-61747588?maca=en-rss-en-all-1573-rdf, 2022-05-14T15:08:00Z
 RECOMMENDED — Worried about the global fertilizer shortage? You're in luck. The human bladder is a fountain of nitrogen and micronutrients, All eyes are on our food systems as the Russia-Ukraine war further pushes up fertilizer prices. Scientists think our urine could be the solution to helping crops grow and strengthening food security., https://www.dw.com/en/recommended-worried-about-the-global-fertilizer-shortage-you-re-in-luck-the-human-bladder-is-a-fountain-of-nitrogen-and-micronutrients/a-61737037?maca=en-rss-en-all-1573-rdf, 2022-05-14T14:34:00Z
 Finland's ruling party backs NATO bid, The decision to join the defense alliance was endorsed by Finnish President Sauli Niinisto and Prime Minister Sanna Marin earlier this week., https://www.dw.com/en/finland-s-ruling-party-backs-nato-bid/a-61796426?maca=en-rss-en-all-1573-rdf, 2022-05-14T13:22:00Z
 UAE: Sheikh Mohammed elected as new president," In a show of unity, the leaders of the UAE's various sheikhdoms have chosen a new president. The rapid decision for the half-brother of the recently deceased president came as little surprise.", https://www.dw.com/en/uae-sheikh-mohammed-elected-as-new-president/a-61798154?maca=en-rss-en-all-1573-rdf, 2022-05-14T11:10:00Z
 US court partially blocks Alabama's gender-affirmation ban, An Alabama ban on the provision of gender-affirming medication for minors has been blocked by a federal judge. Transgender rights have become a bone of contention for right-wing Republicans., https://www.dw.com/en/us-court-partially-blocks-alabama-s-gender-affirmation-ban/a-61797583?maca=en-rss-en-all-1573-rdf, 2022-05-14T10:38:00Z
 India bans wheat exports amid severe heat wave, India cited threats to food security and rising prices as reasons behind the policy U-turn. Global buyers had turned to India for wheat supplies after Russia's war on Ukraine disrupted agriculture markets., https://www.dw.com/en/india-bans-wheat-exports-amid-severe-heat-wave/a-61797337?maca=en-rss-en-all-1573-rdf, 2022-05-14T10:13:00Z
 Ukraine says Russian forces withdrawing from Kharkiv — live updates," The Ukrainian army says Russian troops are ""focused on withdrawing"" from Ukraine's second-largest city. Meanwhile, Germany's chancellor condemned the war's impact on global food supplies. Follow DW for the latest.", https://www.dw.com/en/ukraine-says-russian-forces-withdrawing-from-kharkiv-live-updates/a-61795866?maca=en-rss-en-all-1573-rdf, 2022-05-14T09:28:00Z
 Did US intelligence-sharing with Ukraine cross a line?," For years, the US has been arming and training Ukraine's army. But recent reports claim American intelligence is now helping deliver major blows to the Russian military. Could this heat up the Ukraine conflict further?", https://www.dw.com/en/did-us-intelligence-sharing-with-ukraine-cross-a-line/a-61794064?maca=en-rss-en-all-1573-rdf, 2022-05-14T09:25:00Z
 Where faith meets politics: Jewish pilgrimage to Tunisia, A Jewish festival at the historic synagogue on Djerba island in Tunisia is often touted as a successful example of Jewish-Muslim coexistence. But there's no doubt political tension still plays a role., https://www.dw.com/en/where-faith-meets-politics-jewish-pilgrimage-to-tunisia/a-61790548?maca=en-rss-en-all-1573-rdf, 2022-05-14T06:40:00Z
