titles,descriptions,links,pubDates
Ukraine war: Hundreds trapped in Mariupol steelworks despite evacuations ,A Ukrainian commander at the Azovstal plant says hundreds are stuck and Russia has resumed shelling. ,https://www.bbc.co.uk/news/world-europe-61296851?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 20:39:42 GMT "
Alabama hunt for missing prison inmate and guard ,Police now believe the guard helped organise the escape and have issued a warrant for her arrest. ,https://www.bbc.co.uk/news/world-us-canada-61294585?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 16:44:12 GMT "
Uefa announces further sanctions on Russian clubs and national teams amid Ukraine invasion ,Russia is barred from competing in this summer's women's Euro 2022 while Russian clubs will also be banned from Uefa competitions next season. ,https://www.bbc.co.uk/sport/football/61301238?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 17:35:45 GMT "
Israel outrage at Sergei Lavrov's claim that Hitler was part Jewish ,"The Russian foreign minister's claim that Hitler ""had Jewish blood"" is denounced as unforgiveable. ",https://www.bbc.co.uk/news/world-middle-east-61296682?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 21:07:12 GMT "
South Africa's Cyril Ramaphosa abandons May Day rally after booing ,President Ramaphosa was forced to leave a May Day event after angry workers stormed the stage. ,https://www.bbc.co.uk/news/world-africa-61296810?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 10:45:49 GMT "
Amazon will pay US staff travel expenses for abortions and other treatments ,"The firm will reimburse travel costs for various treatments in the US, including abortion. ",https://www.bbc.co.uk/news/world-us-canada-61301911?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 19:04:24 GMT "
EU accuses Apple of breaking competition law over contactless payments ,The US tech giant denies it is restricting rivals' access to its mobile payments technology. ,https://www.bbc.co.uk/news/business-61300874?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 16:38:23 GMT "
Qantas promises direct flights from Sydney to London and New York ,Australia's carrier says its new fleet will be capable of direct flights to any city in the world. ,https://www.bbc.co.uk/news/world-australia-61294894?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 13:15:03 GMT "
Haiti gang holding kidnapped diplomat for ransom ,A gang infamous for kidnapping foreigners has seized a diplomat from the Dominican Republic. ,https://www.bbc.co.uk/news/world-latin-america-61297538?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 11:42:40 GMT "
Orange skies as Iraq hit by dust storm ,Experts say the storms are increasing in frequency due to drought and declining rainfall. ,https://www.bbc.co.uk/news/world-61297292?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 09:06:13 GMT "
Weather students die in crash after tornado chase ,"The three students crashed in wet weather, shortly after posting videos of a tornado in Kansas. ",https://www.bbc.co.uk/news/world-us-canada-61300036?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 16:02:16 GMT "
EU divided over how to step away from Russian energy ,"EU energy ministers met to discuss a possible ban on Russian oil, but members remain split. ",https://www.bbc.co.uk/news/business-61298791?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 18:29:58 GMT "
Ukraine war: Families hide in cellars as Russia targets Donbas region ,Those remaining in the Ukrainian city of Lysychansk near the front line live under constant shelling. ,https://www.bbc.co.uk/news/world-europe-61284964?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 04:57:26 GMT "
General Belgrano: The opera singer who survived the sinking of the Argentine cruiser ,"In May 1982, the Argentine cruiser the General Belgrano was sunk by British torpedoes during the war over the Falkland or Malvinas Islands. ",https://www.bbc.co.uk/news/stories-61272009?at_medium=RSS&at_campaign=KARANGA ,"Sun, 01 May 2022 23:01:02 GMT "
Angola's Joice Zau: The prize-winning poet who refuses to stay quiet ,"Joice Zau is determined to carry on despite being threatened for ""telling the truth"" in Angola. ",https://www.bbc.co.uk/news/world-africa-61263834?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 00:01:57 GMT "
Shanghai lockdown: The hard life of a homeless deliveryman ,Many riders face a lack of shelter and safety while delivering supplies in a locked down city. ,https://www.bbc.co.uk/news/world-asia-china-61270253?at_medium=RSS&at_campaign=KARANGA ,"Sun, 01 May 2022 23:49:21 GMT "
Emotional reunions as New Zealand reopens to tourists ,The country has reopened its borders to visitors after a pandemic lockout of more than two years. ,https://www.bbc.co.uk/news/world-asia-61297026?at_medium=RSS&at_campaign=KARANGA ,"Mon, 02 May 2022 08:11:44 GMT "
Ukraine war: Evacuation of Mariupol civilians under way ,The UN says an operation to evacuate civilians trapped in a steelworks in Mariupol is under way. ,https://www.bbc.co.uk/news/world-europe-61294744?at_medium=RSS&at_campaign=KARANGA ,"Sun, 01 May 2022 23:17:56 GMT "
Biden mocks Trump at White House press dinner ,Joe Biden jokes about former president Donald Trump at the prestigious event hosted by Trevor Noah. ,https://www.bbc.co.uk/news/world-us-canada-61290695?at_medium=RSS&at_campaign=KARANGA ,"Sun, 01 May 2022 13:24:54 GMT "
Ros Atkins on… China's zero-Covid lockdowns ,Ros Atkins looks at why the Chinese government remains committed to its policy of eliminating all outbreaks of coronavirus. ,https://www.bbc.co.uk/news/world-asia-china-61262757?at_medium=RSS&at_campaign=KARANGA ,"Sat, 30 Apr 2022 23:01:11 GMT "
Asylum in Denmark: Is the country guilty of double standards? ,"As thousands of Ukrainians are welcomed, the government plans to reduce the number of non-European refugees. ",https://www.bbc.co.uk/news/world-europe-61273433?at_medium=RSS&at_campaign=KARANGA ,"Sat, 30 Apr 2022 23:01:18 GMT "
