titles,descriptions,links,pubDates
Ukraine war: Snake Island and battle for control in Black Sea ,This rocky outcrop has been fiercely contested for weeks and has vital strategic importance. ,https://www.bbc.co.uk/news/world-europe-61406808?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 15:03:14 GMT "
Al Jazeera reporter killed during Israeli raid in West Bank ,Israel and the TV channel trade accusations over who was to blame for shooting Shireen Abu Aqla. ,https://www.bbc.co.uk/news/world-middle-east-61403320?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 15:07:50 GMT "
Sri Lanka crisis: Ex-PM flees to naval base as arson attacks spread ,Troops have orders to shoot looters on sight as the president vows to end unrest over the economic crisis. ,https://www.bbc.co.uk/news/world-asia-61403510?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 16:57:26 GMT "
Hong Kong cardinal Joseph Zen arrested under China's security law ,Senior Catholic Cardinal Joseph Zen is a long-time critic of the Chinese government. ,https://www.bbc.co.uk/news/world-asia-61413335?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 16:55:42 GMT "
Covid mask rules relaxed for EU air travel ,"Masks will no longer have to be worn on EU flights and in airports from next Monday, new guidance says. ",https://www.bbc.co.uk/news/world-europe-61413015?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 17:23:41 GMT "
Sedition law: India's Supreme Court puts controversial law on hold ,The Supreme Court pauses a colonial-era sedition law that critics say is used to stifle dissent. ,https://www.bbc.co.uk/news/world-asia-india-61404053?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 08:16:37 GMT "
US price rises ease for the first time in months ,"The prices of clothing and used cars fell, but inflation remains at a 40-year high. ",https://www.bbc.co.uk/news/business-61411474?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 14:47:25 GMT "
Democrats push doomed bid for federal abortion law ,"A bill to make the right to abortion a national law is likely to fail, but could have political weight. ",https://www.bbc.co.uk/news/world-us-canada-61412373?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 17:21:31 GMT "
Shanghai moves to impose tightest restrictions yet ,"For the next few days, no commercial food deliveries are allowed, and hospital access will be restricted. ",https://www.bbc.co.uk/news/world-asia-china-61404082?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 06:06:24 GMT "
Elon Musk would reverse Donald Trump's Twitter ban ,"He says Twitter's decision to ban the former US president was ""morally wrong and flat-out stupid"". ",https://www.bbc.co.uk/news/business-61399483?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 07:37:11 GMT "
Are Sweden and Finland going from neutral to Nato? ,It would be a historic shift if they do and Russia is vehemently opposed to the change. ,https://www.bbc.co.uk/news/world-europe-61397478?at_medium=RSS&at_campaign=KARANGA ,"Tue, 10 May 2022 23:33:09 GMT "
"Archive sheds new light on Tutankhamun discovery, 100 years on ",An exhibition in Oxford tells how Howard Carter's team excavated the pharaoh's tomb 100 years ago. ,https://www.bbc.co.uk/news/world-middle-east-61394416?at_medium=RSS&at_campaign=KARANGA ,"Tue, 10 May 2022 23:27:16 GMT "
Grenada: Confronting my family's slave-owning past ,The BBC's Laura Trevelyan travels to the island of Grenada to investigate her family's slave-owning past. ,https://www.bbc.co.uk/news/world-latin-america-61315877?at_medium=RSS&at_campaign=KARANGA ,"Tue, 10 May 2022 23:30:03 GMT "
Australia election 2022: What will the vote mean for climate policies? ,"The outcome could be very significant for the climate, says one of the country's top scientists. ",https://www.bbc.co.uk/news/world-australia-61317296?at_medium=RSS&at_campaign=KARANGA ,"Tue, 10 May 2022 22:58:43 GMT "
The 'jockstrap' that revolutionised women's sports ,The sports bra is honoured as a serious invention. The women behind its creation are chuffed. ,https://www.bbc.co.uk/news/world-us-canada-61387881?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 13:11:42 GMT "
From India to UK: An immigrant's snapshots from 1950s ,The lives of Coventry's South Asian immigrants are recorded in Maganbhai 'Masterji' Patel's photos. ,https://www.bbc.co.uk/news/world-asia-india-61389834?at_medium=RSS&at_campaign=KARANGA ,"Tue, 10 May 2022 23:32:24 GMT "
Quentin Sommerville: BBC on patrol with the soldiers pushing Russia back ,The BBC's Quentin Sommerville spends a week with Ukrainians liberating towns north of Kharkiv. ,https://www.bbc.co.uk/news/world-europe-61415677?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 17:39:49 GMT "
Eurovision 2022: Emotions run high as Ukraine's Kalush Orchestra qualify for final ,Ukrainian fans celebrated in Turin as the Kalush Orchestra cement their position as favourites to win. ,https://www.bbc.co.uk/news/entertainment-arts-61403343?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 00:35:19 GMT "
'If I die no-one will know': Covid and Hong Kong's 'cage men' ,The Omicron variant overwhelmed the city's healthcare system resulting in many deaths. ,https://www.bbc.co.uk/news/world-asia-china-61385264?at_medium=RSS&at_campaign=KARANGA ,"Tue, 10 May 2022 23:05:18 GMT "
"Ukraine war: From fighting the Nazis with the Soviets, to fleeing from Putin's war ",A Ukrainian Jew who once fought the Nazis with Russia says he had to flee to escape Putin's war. ,https://www.bbc.co.uk/news/world-europe-61388816?at_medium=RSS&at_campaign=KARANGA ,"Mon, 09 May 2022 22:57:05 GMT "
Violence as protesters take to the streets in Sri Lanka ,"The unrest comes as Prime Minister Mahinda Rajapaksa resigns, amid a deepening economic crisis. ",https://www.bbc.co.uk/news/world-asia-61387545?at_medium=RSS&at_campaign=KARANGA ,"Mon, 09 May 2022 17:34:34 GMT "
Joly Germine: Haitian gang leader indicted over missionary abductions ,Joly Germine allegedly directed the kidnappings of 17 Christian missionaries from a Haitian prison. ,https://www.bbc.co.uk/news/world-us-canada-61412343?at_medium=RSS&at_campaign=KARANGA ,"Wed, 11 May 2022 15:35:39 GMT "
