titles,descriptions,links,pubDates
"Ukraine war: US fully backs Sweden and Finland Nato bids, Biden says ",Both countries submitted their applications to be part of the Western defence alliance this week. ,https://www.bbc.co.uk/news/world-us-canada-61511396?at_medium=RSS&at_campaign=KARANGA ,"Fri, 20 May 2022 02:16:11 GMT "
Ukrainian widow confronts Russian soldier accused of killing her husband ,The 21-year-old serviceman has pled guilty to killing her husband in a village in Ukraine's north-east. ,https://www.bbc.co.uk/news/world-europe-61511640?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 17:38:11 GMT "
Ukraine war: One Russian's anti-war protest on the side of his shopping centre ,Dmitry Skurikhin has listed the Ukrainian towns attacked by Russia on the side of his shopping centre. ,https://www.bbc.co.uk/news/world-europe-61515365?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 23:40:04 GMT "
North Korea: Fighting Covid with traditional medicine ,"As Covid spreads in North Korea, state media urges the use of traditional medicine against the virus. ",https://www.bbc.co.uk/news/61508440?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 23:24:29 GMT "
Former Afghanistan official apologises for his role in the fall of the country ,Hamdullah Mohib fled the country along with the president the day the capital fell. ,https://www.bbc.co.uk/news/world-asia-61516894?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 21:23:34 GMT "
"Monkeypox cases investigated in Europe, US and Canada ","Cases of the rare disease are now confirmed in four European countries, health authorities say. ",https://www.bbc.co.uk/news/health-61506562?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 20:54:37 GMT "
Vangelis: Chariots of Fire and Blade Runner composer dies at 79 ,"The Greek musician won an Oscar for the 1981 film theme, and also wrote the Blade Runner soundtrack. ",https://www.bbc.co.uk/news/entertainment-arts-61514850?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 20:50:30 GMT "
Israeli coalition government in crisis as MP quits ,"An Arab member resigns in anger, leaving the government as a fragile minority for the first time. ",https://www.bbc.co.uk/news/world-middle-east-61512656?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 17:03:31 GMT "
Bush condemns Putin's invasion of 'Iraq' instead of Ukraine ,The former US president corrected himself after saying Putin had invaded Iraq rather than Ukraine. ,https://www.bbc.co.uk/news/world-us-canada-61505050?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 08:11:00 GMT "
Russian McDonald's buyer to rebrand restaurants ,The fast food giant says the new owner of its 850 Russian restaurants will operate them under a new brand. ,https://www.bbc.co.uk/news/business-61512255?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 16:23:22 GMT "
Nnamdi Kanu: Nigerian separatist allowed to watch Liverpool games on TV ,A Nigerian judge grants Nnamdi Kanu dispensation to watch the climax of his favourite team's season. ,https://www.bbc.co.uk/news/world-africa-61509984?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 14:42:06 GMT "
Women awarded damages over Japan exam discrimination ,Juntendo University in Tokyo set stricter requirements for female medical students in entrance exams. ,https://www.bbc.co.uk/news/world-asia-61506568?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 12:24:38 GMT "
Australia election 2022: Cost of living worries voters ,"If interest rates keep rising 300,000 Australians may default on mortgage repayments. ",https://www.bbc.co.uk/news/business-61483645?at_medium=RSS&at_campaign=KARANGA ,"Thu, 19 May 2022 23:08:12 GMT "
