title,link,description
Live Updates: Russia Pounds Ukrainian Towns Along Eastern Front as Commander Signals Broader Aims,https://www.nytimes.com/live/2022/04/22/world/ukraine-russia-war-news,"After scaling back its publicly stated ambitions in Ukraine, a senior Russian military commander said on Friday that Moscow wanted complete control of all eastern and southern Ukraine. It was unclear if his comments reflected an official shift in Kremlin policy."
One Ukrainian War Casualty: The World’s Largest Airplane,https://www.nytimes.com/2022/04/22/world/europe/ukraine-airplane-russia-war-mriya.html,"Mriya, the world’s largest aircraft, was destroyed in a pivotal battle at the start of the war. It was a beloved symbol for all of Ukraine but perhaps no one misses it more than its first pilot."
"As Marine Le Pen Moves Closer to French Presidency, Putin Ties Persist",https://www.nytimes.com/2022/04/22/world/europe/le-pen-putin-france-election.html,"As elections approach Sunday, the far-right candidate is linked to the Russian president by a web of financial ties and a history of support that has hardly dimmed despite the war in Ukraine."
Aliou Cissé Has Senegal Ready to Shine in World Cup,https://www.nytimes.com/2022/04/22/world/africa/aliou-cisse-soccer-senegal.html,"Aliou Cissé, one of the best of a new generation of African coaches, has reinvented Senegal’s national team and given the country a new sense of patriotism. His next goal: the World Cup."
Who Will France’s Muslims Choose for President?,https://www.nytimes.com/2022/04/22/world/europe/france-muslims-presidential-vote.html,"In Sunday’s decisive runoff election, they have a distasteful choice between Macron and Le Pen. They won’t necessarily back Macron."
Afghanistan Mosque Explosion Kills 33,https://www.nytimes.com/2022/04/22/world/asia/afghanistan-mosque-attack.html,"The blast in Kunduz Province, in the north, was the latest in a series of attacks reminiscent of the past two decades of war."
Brief Bouts of Unrest Erupt After Jerusalem Friday Prayers,https://www.nytimes.com/live/2022/04/22/world/jerusalem-al-aqsa-mosque,"The Aqsa Mosque compound, known to Jews as Temple Mount, was once again the scene of clashes as tens of thousands of Muslims gathered to worship. But the violence ended quickly."
President Moon Exchanges Farewell Letters With Kim Jong-un,https://www.nytimes.com/2022/04/22/world/asia/north-korea-kim-moon-letters.html,"President Moon Jae-in, who is barred from seeking re-election after his five-year term, and the North’s leader had warm parting words amid a diplomatic stalemate."
E.U. Takes Aim at Social Media’s Harms With Landmark New Law,https://www.nytimes.com/2022/04/22/technology/european-union-social-media-law.html,"The Digital Services Act would force Meta, Google and others to combat misinformation and restrict certain online ads. How European officials will wield it remains to be seen."
New Zealand Deal May Put Japan Closer to Intelligence Alliance,https://www.nytimes.com/2022/04/22/world/asia/new-zealand-japan-intelligence.html,The two countries announced a goal of “seamless” sharing of classified information as China moves to expand its influence in the Asia-Pacific region.
"Mwai Kibaki, Former President of Kenya, Dies at 90",https://www.nytimes.com/2022/04/22/world/africa/mwai-kibaki-kenya-dead.html,He came to power promising to root out corruption and improve government transparency. But his tenure was blighted by widespread graft and a violent upheaval.
Explosion at Afghan Mosque Kills at Least 10,https://www.nytimes.com/2022/04/21/world/asia/afghanistan-mosque-bombing.html,"The blast in Mazar-i-Sharif, one of Afghanistan’s economic hubs, was the latest in a series of attacks on one of its religious minorities and was claimed by an ISIS affiliate."
This Spanish Village Has More Booksellers Than School Pupils,https://www.nytimes.com/2022/04/21/world/europe/uruena-spain-book-hub.html,"Urueña, in northwestern Spain, has fought depopulation by reinventing itself as a literary hub. The full-time population is still just 100, but there are 11 shops selling books."
