Hospital
Colegio
Fabrica
Base Militar
Aeropuerto
Ciudad
Refugio
Estacion de metro
Puntos importantes
Plantas nucleares
Presas
Carceles
Estación de policia
Estación de bomberos
Estación de gasolina
Restaurantes
Farmacia
Universidades
Supermercado
Iglesias
